time;x1;x2;x3;y1;y2;y3
0;0;0;0;0;0;0
0.1;0.0007936352305441929;6.169142893615933e-7;0.00000888120563416304;0.0007936352305441929;6.169142893615933e-7;0.00000888120563416304
0.2;0.0015785321650106663;0.000002098229412972725;0.000025211262539817;0.0015785321650106663;0.000002098229412972725;0.000025211262539817
0.30000000000000004;0.002357972608024603;0.000004212930885990711;0.00004601868085350001;0.002357972608024603;0.000004212930885990711;0.00004601868085350001
0.4;0.003133049755154468;0.000006871520767368876;0.00007032431898901897;0.003133049755154468;0.000006871520767368876;0.00007032431898901897
0.5;0.003904390676884885;0.000010018033999239259;0.0000975732982917467;0.003904390676884885;0.000010018033999239259;0.0000975732982917467
0.6000000000000001;0.004672416694007984;0.000013612667283640704;0.0001273961835455487;0.004672416694007984;0.000013612667283640704;0.0001273961835455487
0.7000000000000001;0.00543743624460088;0.000017624993797309114;0.00015952455140942843;0.00543743624460088;0.000017624993797309114;0.00015952455140942843
0.8;0.006199687819165487;0.000022030647056944423;0.00019375220147644246;0.006199687819165487;0.000022030647056944423;0.00019375220147644246
0.9;0.006959362986570198;0.00002680946743836247;0.0002299144607391316;0.006959362986570198;0.00002680946743836247;0.0002299144607391316
1;0.0077166200193451735;0.0000319443681731494;0.0002678759913630624;0.0077166200193451735;0.0000319443681731494;0.0002678759913630624
1.1;0.008471592546539607;0.00003742059460451743;0.0003075230782469908;0.008471592546539607;0.00003742059460451743;0.0003075230782469908
1.2000000000000002;0.009224395350510645;0.0000432252156472723;0.0003487584805671232;0.009224395350510645;0.0000432252156472723;0.0003487584805671232
1.3;0.009975128416773322;0.00004934676071965006;0.00039149784658344835;0.009975128416773322;0.00004934676071965006;0.00039149784658344835
1.4000000000000001;0.010723879860846075;0.00005577495219416251;0.00043566713042451406;0.010723879860846075;0.00005577495219416251;0.00043566713042451406
1.5;0.011470728103433097;0.00006250050301216144;0.0004812006777030482;0.011470728103433097;0.00006250050301216144;0.0004812006777030482
1.6;0.01221574352535864;0.00006951496018804462;0.0005280397728708929;0.01221574352535864;0.00006951496018804462;0.0005280397728708929
1.7000000000000002;0.01295898975210472;0.00007681058150833146;0.0005761315145273864;0.01295898975210472;0.00007681058150833146;0.0005761315145273864
1.8;0.01370052466819005;0.00008438023680039558;0.0006254279293875598;0.01370052466819005;0.00008438023680039558;0.0006254279293875598
1.9000000000000001;0.014440401230336184;0.00009221732775205869;0.0006758852636202825;0.014440401230336184;0.00009221732775205869;0.0006758852636202825
2;0.01517866812800532;0.00010031572198346615;0.000727463408452713;0.01517866812800532;0.00010031572198346615;0.000727463408452713
2.1;0.01591537032628038;0.00010866969823810382;0.0007801254290742652;0.01591537032628038;0.00010866969823810382;0.0007801254290742652
2.2;0.016650549516735738;0.000117273900367784;0.000833837174169433;0.016650549516735738;0.000117273900367784;0.000833837174169433
2.3000000000000003;0.017384244495426828;0.0001261232983581272;0.0008885669492013426;0.017384244495426828;0.0001261232983581272;0.0008885669492013426
2.4000000000000004;0.018116491482479815;0.00013521315505302865;0.0009442852406897699;0.018116491482479815;0.00013521315505302865;0.0009442852406897699
2.5;0.0188473243943935;0.00014453899753836177;0.0010009644817108039;0.0188473243943935;0.00014453899753836177;0.0010009644817108039
2.6;0.01957677507768571;0.00015409659236950953;0.0010585788510382547;0.01957677507768571;0.00015409659236950953;0.0010585788510382547
2.7;0.020304873510665088;0.00016388192399635463;0.0011171040999814641;0.020304873510665088;0.00016388192399635463;0.0011171040999814641
2.8000000000000003;0.021031647978709697;0.0001738911758683016;0.0011765174022081552;0.021031647978709697;0.0001738911758683016;0.0011765174022081552
2.9000000000000004;0.02175712522736343;0.00018412071380137564;0.0012367972227834922;0.02175712522736343;0.00018412071380137564;0.0012367972227834922
3;0.022481330596733563;0.00019456707126697408;0.0012979232033841974;0.022481330596733563;0.00019456707126697408;0.0012979232033841974
3.1;0.023204288140026813;0.00020522693632285855;0.0013598760612139732;0.023204288140026813;0.00020522693632285855;0.0013598760612139732
3.2;0.02392602072855207;0.00021609713995541285;0.0014226374995929812;0.02392602072855207;0.00021609713995541285;0.0014226374995929812
3.3000000000000003;0.02464655014511352;0.00022717464564096305;0.0014861901285484964;0.02464655014511352;0.00022717464564096305;0.0014861901285484964
3.4000000000000004;0.0253658971673939;0.0002384565399652282;0.0015505173940173374;0.0253658971673939;0.0002384565399652282;0.0015505173940173374
3.5;0.02608408164266603;0.0002499400241653736;0.001615603514499133;0.02608408164266603;0.0002499400241653736;0.001615603514499133
3.6;0.026801122554958732;0.00026162240647991384;0.0016814334241848845;0.026801122554958732;0.00026162240647991384;0.0016814334241848845
3.7;0.02751703808562919;0.0002735010952088069;0.0017479927217367115;0.02751703808562919;0.0002735010952088069;0.0017479927217367115
3.8000000000000003;0.028231845668151217;0.0002855735924002339;0.001815267624019107;0.028231845668151217;0.0002855735924002339;0.001815267624019107
3.9000000000000004;0.0289455620378106;0.00029783748809233447;0.0018832449241848825;0.0289455620378106;0.00029783748809233447;0.0018832449241848825
4;0.029658203276900302;0.00031029045504802537;0.0019519119536044504;0.029658203276900302;0.00031029045504802537;0.0019519119536044504
4.1000000000000005;0.0303697848559262;0.0003229302439293141;0.002021256547198473;0.0303697848559262;0.0003229302439293141;0.002021256547198473
4.2;0.03108032167126485;0.00033575467886451957;0.002091267011793827;0.03108032167126485;0.00033575467886451957;0.002091267011793827
4.3;0.03178982807965663;0.0003487616533677512;0.0021619320971733437;0.03178982807965663;0.0003487616533677512;0.0021619320971733437
