t;x1;x2;x3;dx1;dx2;dx3;y1;y2;y3
0;2.73809975673127e-10;-3.54261154474029e-10;1.85460983350662e-09;0.00771551293146447;-0.000130949476657887;0.00037313796703169;-4.57481677866418e-06;-3.04637751903461e-06;-4.5720605355032e-06
1;0.00771551320527444;-0.000130949830919041;0.000373139821641524;0.00753091060238523;2.44927307160768e-05;0.000380132551766294;0.00919748840868759;0.00198872572270436;-0.00191583788765609
2;0.0152464238076597;-0.000106457100202964;0.000753272373407818;0.00730199786302511;0.000127833069538754;0.00048271874411419;0.0141489424692887;0.00101634010596256;0.00548569711808049
3;0.0225484216706848;2.13759693357897e-05;0.00123599111752201;0.00720828722214458;0.000105867059102129;0.000761386554074997;0.0248466666345535;-0.00206569383735946;0.000103529709608675
4;0.0297567088928294;0.000127243028437918;0.001997377671597;0.00716689126514685;0.00016217454407792;0.000628071572214027;0.0279095110504377;0.00103698021634848;0.00455297739956568
5;0.0369236001579762;0.000289417572515838;0.00262544924381103;0.00705901064708536;0.000260294876761682;0.000972487597974963;0.0457648207279501;0.000823400522114405;0.00588159526834652
6;0.0439826108050616;0.00054971244927752;0.00359793684178599;0.00682305107961137;0.000186094936363649;0.000936606655949299;0.0488624920689337;-0.000353823060514192;0.001794292796069
7;0.0508056618846729;0.000735807385641169;0.00453454349773529;0.00668435100347663;0.00018605559180654;0.000870877656500402;0.0501529127822093;0.0061241511629953;0.00478330055934352
8;0.0574900128881496;0.000921862977447709;0.0054054211542357;0.00678439460248048;0.000182871447763609;0.000890213669732019;0.0617370255968275;-0.00191465807523589;0.00296207969486431
9;0.0642744074906301;0.00110473442521132;0.00629563482396771;0.00668565723179144;0.000224970054500215;0.00093672866583;0.066100020895195;0.000504905085092464;0.00607923556618303
10;0.0709600647224215;0.00132970447971153;0.00723236348979771;0.00660433027912684;0.000225812702762414;0.000982269045287215;0.070218524940123;-0.00175313676786619;0.00327396441748321
11;0.0775643950015483;0.00155551718247395;0.00821463253508493;0.00660268361402024;0.000231353212725259;0.00101267971687352;0.077336996062541;0.00359078411109963;0.0134435196666382
12;0.0841670786155686;0.00178687039519921;0.00922731225195845;0.00657310673161139;0.0002065836359403;0.00104057284140479;0.0864584419028973;0.00216383681712322;0.00693290651950599
13;0.09074018534718;0.00199345403113951;0.0102678850933632;0.00638995358799835;0.000233900405522933;0.000944206748213041;0.0890167893598345;0.00147252010518603;0.0156287795308365
14;0.0971301389351783;0.00222735443666244;0.0112120918415763;0.00644299240391139;0.000263181264952413;0.000943024598878352;0.096362705471191;0.00663980817478735;0.0145702452540662
15;0.10357313133909;0.00249053570161485;0.0121551164404546;0.0062729176206951;0.000158146859148021;0.000987854974850483;0.104717644725466;0.00340204537291109;0.0145721333312674
16;0.109846048959785;0.00264868256076287;0.0131429714153051;0.00633991907412416;0.000299270581641231;0.00118783745932436;0.111375788625223;0.00198766449558144;0.00576852022532201
17;0.116185968033909;0.0029479531424041;0.0143308088746295;0.00622032559368614;0.000314364554307023;0.00103004069277932;0.114517636688848;0.0121164584333817;0.0134712322934524
18;0.122406293627595;0.00326231769671113;0.0153608495674088;0.00609327067305283;0.000275760598479864;0.0012099491452088;0.120568160083933;0.00271344557480896;0.0175484127562848
19;0.128499564300648;0.00353807829519099;0.0165707987126176;0.00615961095863141;0.000184648132043067;0.00112353180749557;0.133075075334678;0.0027792084163598;0.0162796122159402
20;0.134659175259279;0.00372272642723406;0.0176943305201132;0.00612553455382284;0.000150552022335629;0.0011756821330332;0.138093725968756;0.00471946348211782;0.0208926995591624
21;0.140784709813102;0.00387327844956969;0.0188700126531464;0.00595809536079109;0.000340301774356962;0.00114329653926089;0.143520231401025;0.0010185059243156;0.017331066973959
22;0.146742805173893;0.00421358022392665;0.0200133091924073;0.0059909219467611;0.000245831991196719;0.00122267123586342;0.14819071871026;0.0031983756239458;0.0255252141012326
23;0.152733727120654;0.00445941221512337;0.0212359804282707;0.00606244529780728;0.000341519074280553;0.00136326024832417;0.151515341414158;0.00419142875263357;0.0144180846759988
24;0.158796172418462;0.00480093128940392;0.0225992406765948;0.00598940862955052;0.000365145922468659;0.0012318768193824;0.160275552062788;0.00574666428230742;0.0219229387638568
25;0.164785581048012;0.00516607721187258;0.0238311174959772;0.00610352774611542;0.000422288740767901;0.00138015077367522;0.17017924352579;0.0121483759189984;0.0224201507276193
26;0.170889108794128;0.00558836595264048;0.0252112682696525;0.00594635702902391;0.000499070871508533;0.00139157244318131;0.169776011039008;0.000980076029977788;0.0263449633264281
27;0.176835465823151;0.00608743682414902;0.0266028407128338;0.00578189983126123;0.000385746871828036;0.00147090374404282;0.17632392132999;0.00861707606736239;0.0237030501327218
28;0.182617365654413;0.00647318369597705;0.0280737444568766;0.00602902636031338;0.000462264056178632;0.00141296252061657;0.18354227225186;0.00877184098773999;0.0271035861605867
29;0.188646392014726;0.00693544775215568;0.0294867069774932;0.0059040477493259;0.00036536866334144;0.00121592509679239;0.187134312742868;0.00330558565607421;0.0301579215623818
30;0.194550439764052;0.00730081641549712;0.0307026320742856;0.00584050200720451;0.000536698870893779;0.00134871241988492;0.193349612732626;0.00861642733515498;0.0282799859956754
31;0.200390941771257;0.0078375152863909;0.0320513444941705;0.00598666777783852;0.000309169161163463;0.00164013781534811;0.202301749576853;0.0102894795546562;0.0265817903519935
32;0.206377609549095;0.00814668444755437;0.0336914823095186;0.00583021575649398;0.000315014160513985;0.00140047331727558;0.201356230910268;0.00804178036890301;0.0322128684707988
33;0.212207825305589;0.00846169860806835;0.0350919556267942;0.00566891774948747;0.000444510722171413;0.00151983143274692;0.215187426476406;0.00376450699510526;0.0325495178353201
34;0.217876743055076;0.00890620933023976;0.0366117870595411;0.00564910983081168;0.00036889907782656;0.00133578779159885;0.217731040062284;0.00414313399118615;0.0406835093501041
35;0.223525852885888;0.00927510840806632;0.0379475748511399;0.00563331642259127;0.000304695154188446;0.00124400459164108;0.224540087453273;0.0164241561466027;0.0392984762245902
36;0.229159169308479;0.00957980356225477;0.039191579442781;0.00568385469582894;0.000468300827297746;0.00135620971027781;0.228216593403498;0.00955264803019726;0.0395363646449887
37;0.234843024004308;0.0100481043895525;0.0405477891530588;0.00547578383703679;0.000294288624013289;0.0015782952629625;0.23734997596011;0.010101285898055;0.0358991351840383
38;0.240318807841345;0.0103423930135658;0.0421260844160213;0.00561239383310885;0.000605670405229458;0.00159334047250561;0.243042251648797;0.0059619421545482;0.0458026085438656
39;0.245931201674454;0.0109480634187953;0.0437194248885269;0.00553769615550262;0.000609246762096937;0.00141890846018248;0.243730983196148;0.0176439236153699;0.040852450336302
40;0.251468897829957;0.0115573101808922;0.0451383333487094;0.00546947527923075;0.000664549599577902;0.00145323155164729;0.252407763547137;0.0131289539950966;0.0424406374551815
41;0.256938373109187;0.0122218597804701;0.0465915649003567;0.00558745478860984;0.000447322306013232;0.00140289615223067;0.253927652119768;0.0107619437800387;0.0487069952321573
42;0.262525827897797;0.0126691820864833;0.0479944610525874;0.00530780752846788;0.000409708911507779;0.00150868305132196;0.258708000826636;0.00780885302369239;0.0489360416145699
43;0.267833635426265;0.0130788909979911;0.0495031441039093;0.00530849893723989;0.000278653735616762;0.00142911669486499;0.267052134166756;0.0130475699000404;0.0504479703509678
44;0.273142134363505;0.0133575447336079;0.0509322607987743;0.00532363077948866;0.000353872676858913;0.00152150289081195;0.272896418723635;0.0103050525729643;0.0463294415838053
45;0.278465765142994;0.0137114174104668;0.0524537636895863;0.00558562518239347;0.000462349171748321;0.00169078237285428;0.278519136160512;0.017078117858433;0.0569110258758444
46;0.284051390325387;0.0141737665822151;0.0541445460624405;0.00544296175241954;0.000495673789872985;0.00139161384386471;0.28433563145145;0.0104126842821346;0.0495096521692363
47;0.289494352077807;0.0146694403720881;0.0555361599063053;0.00538996860835395;0.000318158209119495;0.00159309133138936;0.290449399955999;0.00930825126327896;0.0508506109331326
48;0.294884320686161;0.0149875985812076;0.0571292512376946;0.00533185605652614;0.000579578702384547;0.00155022197850672;0.292812170495309;0.017429366325542;0.0524386251246433
49;0.300216176742687;0.0155671772835921;0.0586794732162013;0.00526225352151383;0.000567179381380326;0.00150227894210254;0.295684794910732;0.0223610430123594;0.0595605018118422
50;0.305478430264201;0.0161343566649725;0.0601817521583039;0.00526004602383662;0.000559916944759847;0.0015446030292602;0.305198865478804;0.0151226183875253;0.05899377026613
51;0.310738476288037;0.0166942736097323;0.0617263551875641;0.00536618896835561;0.000471494794726097;0.00160762410552983;0.31069211165581;0.0163586002094755;0.0649979475597731
52;0.316104665256393;0.0171657684044584;0.0633339792930939;0.00517473514955774;0.000452864799334613;0.00152677369455974;0.312752746167441;0.0160470215666326;0.0608867769404235
53;0.321279400405951;0.017618633203793;0.0648607529876536;0.0053436817520528;0.000478000487945485;0.00152931028159292;0.324797961053467;0.0175895732108301;0.0634330670986416
54;0.326623082158003;0.0180966336917385;0.0663900632692466;0.00505868136555221;0.000288908091647642;0.00177353377374372;0.324172077278892;0.0246992981776874;0.065448075561973
55;0.331681763523556;0.0183855417833861;0.0681635970429903;0.0052001896190586;0.000514140968269152;0.00159876189095495;0.333911111894788;0.0156936649919747;0.0653447188206924
56;0.336881953142614;0.0188996827516553;0.0697623589339452;0.00519365806850458;0.000406577493905765;0.00145426875100148;0.342049647961587;0.0186539642222923;0.0685100982739655
57;0.342075611211119;0.0193062602455611;0.0712166276849467;0.00512072894758225;0.000482824104512697;0.00157105699942829;0.343176157918188;0.0199813009077659;0.0695582897951795
58;0.347196340158701;0.0197890843500738;0.072787684684375;0.00497349919833673;0.000433360856486525;0.0014732135427997;0.345902580447009;0.0181693635569904;0.0720455662851873
59;0.352169839357038;0.0202224452065603;0.0742608982271747;0.00529765952838657;0.000401745479705597;0.00169975241317979;0.353592948832268;0.0185964921542357;0.0810575391094945
60;0.357467498885424;0.0206241906862659;0.0759606506403545;0.0048654358851406;0.000557094348592538;0.00164297155909747;0.352913134004441;0.0200897466780668;0.0739610880271268
61;0.362332934770565;0.0211812850348584;0.077603622199452;0.00495782980844517;0.000571922610521077;0.00159859490052461;0.36410989794271;0.0147795014387857;0.0785110098034074
62;0.36729076457901;0.0217532076453795;0.0792022170999766;0.00489103049654216;0.000437018236868807;0.00139919857567691;0.371282820039781;0.0256474421792764;0.0818765096828261
63;0.372181795075552;0.0221902258822483;0.0806014156756535;0.00509609386882481;0.000546940287475896;0.00168142019805614;0.371214846531082;0.0180606191228021;0.0780291325406333
64;0.377277888944377;0.0227371661697242;0.0822828358737096;0.00505040784759492;0.000441775627838939;0.00159543893300432;0.375401758450787;0.0208415358957078;0.0813411708937863
