Var1,Var2,Var3,Var4,dx1,dx2,dx3
0,0,0,0,0.000793635230544193,6.16914289361593e-07,8.88120563416304e-06
0.1,0.000793635230544193,6.16914289361593e-07,8.88120563416304e-06,0.000784896934466473,1.48131512361113e-06,1.6330056905654e-05
0.2,0.00157853216501067,2.09822941297273e-06,2.5211262539817e-05,0.000779440443013937,2.11470147301799e-06,2.0807418313683e-05
0.3,0.0023579726080246,4.21293088599071e-06,4.60186808535e-05,0.000775077147129865,2.65858988137816e-06,2.4305638135519e-05
0.4,0.00313304975515447,6.87152076736888e-06,7.0324318989019e-05,0.000771340921730417,3.14651323187038e-06,2.72489793027277e-05
0.5,0.00390439067688489,1.00180339992393e-05,9.75732982917467e-05,0.000768026017123099,3.59463328440145e-06,2.9822885253802e-05
0.6,0.00467241669400798,1.36126672836407e-05,0.000127396183545549,0.000765019550592896,4.01232651366841e-06,3.21283678638797e-05
0.7,0.00543743624460088,1.76249937973091e-05,0.000159524551409428,0.000762251574564607,4.40565325963531e-06,3.4227650067014e-05
0.8,0.00619968781916549,2.20306470569444e-05,0.000193752201476442,0.000759675167404711,4.77882038141805e-06,3.61622592626891e-05
0.9,0.0069593629865702,2.68094674383625e-05,0.000229914460739132,0.000757257032774975,5.13490073478693e-06,3.79615306239308e-05
1,0.00771662001934517,3.19443681731494e-05,0.000267875991363062,0.000754972527194434,5.47622643136803e-06,3.96470868839284e-05
1.1,0.00847159254653961,3.74205946045174e-05,0.000307523078246991,0.000752802803971038,5.80462104275487e-06,4.12354023201324e-05
1.2,0.00922439535051064,4.32252156472723e-05,0.000348758480567123,0.000750733066262678,6.12154507237776e-06,4.27393660163251e-05
1.3,0.00997512841677332,4.93467607196501e-05,0.000391497846583448,0.000748751444072753,6.42819147451245e-06,4.41692838410657e-05
1.4,0.0107238798608461,5.57749521941625e-05,0.000435667130424514,0.000746848242587021,6.72555081799893e-06,4.55335472785341e-05
1.5,0.0114707281034331,6.25005030121614e-05,0.000481200677703048,0.000745015421925543,7.01445717588318e-06,4.68390951678448e-05
1.6,0.0122157435253586,6.95149601880446e-05,0.000528039772870893,0.00074324622674608,7.29562132028684e-06,4.80917416564935e-05
1.7,0.0129589897521047,7.68105815083315e-05,0.000576131514527386,0.000741534916085331,7.56965529206412e-06,4.92964148601733e-05
1.8,0.0137005246681901,8.43802368003956e-05,0.00062542792938756,0.000739876562146134,7.83709095166311e-06,5.04573342327227e-05
1.9,0.0144404012303362,9.22173277520587e-05,0.000675885263620282,0.000738266897669135,8.09839423140746e-06,5.15781448324305e-05
2,0.0151786681280053,0.000100315721983466,0.000727463408452713,0.00073670219827506,8.35397625463767e-06,5.26620206215522e-05
2.1,0.0159153703262804,0.000108669698238104,0.000780125429074265,0.000735179190455359,8.60420212968018e-06,5.37117450951679e-05
2.2,0.0166505495167357,0.000117273900367784,0.000833837174169433,0.00073369497869109,8.84939799034319e-06,5.47297750319095e-05
2.3,0.0173842444954268,0.000126123298358127,0.000888566949201343,0.000732246987052987,9.08985669490145e-06,5.57182914884273e-05
2.4,0.0181164914824798,0.000135213155053029,0.00094428524068977,0.000730832911913684,9.32584248533312e-06,5.6679241021034e-05
2.5,0.0188473243943935,0.000144538997538362,0.0010009644817108,0.000729450683292211,9.55759483114776e-06,5.76143693274509e-05
2.6,0.0195767750776857,0.00015409659236951,0.00105857885103825,0.000728098432979378,9.7853316268451e-06,5.85252489432094e-05
2.7,0.0203048735106651,0.000163881923996355,0.00111710409998146,0.000726774468044609,1.0009251871947e-05,5.94133022266911e-05
2.8,0.0210316479787097,0.000173891175868302,0.00117651740220816,0.000725477248653732,1.0229537933074e-05,6.0279820575337e-05
2.9,0.0217571252273634,0.000184120713801376,0.00123679722278349,0.000724205369370134,1.04463574655984e-05,6.11259806007052e-05
3,0.0224813305967336,0.000194567071266974,0.0012979232033842,0.00072295754329325,1.06598650558845e-05,6.19528578297758e-05
3.1,0.0232042881400268,0.000205226936322859,0.00135987606121397,0.000721732588525256,1.08702036325543e-05,6.27614383790079e-05
3.2,0.0239260207285521,0.000216097139955413,0.00142263749959298,0.000720529416561453,1.10775056855502e-05,6.35526289555152e-05
3.3,0.0246465501451135,0.000227174645640963,0.0014861901285485,0.000719347022280378,1.12818943242651e-05,6.4327265468841e-05
3.4,0.0253658971673939,0.000238456539965228,0.00155051739401734,0.000718184475272131,1.14834842001454e-05,6.50861204817956e-05
3.5,0.026084081642666,0.000249940024165374,0.00161560351449913,0.000717040912292702,1.16823823145402e-05,6.58299096857515e-05
3.6,0.0268011225549587,0.000261622406479914,0.00168143342418488,0.000715915530670456,1.18786887288931e-05,6.6559297551827e-05
3.7,0.0275170380856292,0.000273501095208807,0.00174799272173671,0.000714807582522028,1.2072497191427e-05,6.72749022823955e-05
