time;y1;y2;y3;u1
0;0.000016200000000021753;-0.000124000000000013;0.00009520000000001749;0.00005064
1;0.000016200000000021753;-0.000124000000000013;0.00009520000000001749;0.00005064
2;0.005507399999999996;0.000041760000000001796;0.00009520000000001749;0.00005064
3;0.005507399999999996;0.000041760000000001796;0.000260000000000038;0.00005064
4;0.006838600000000028;-0.000124000000000013;0.0009192000000000089;0.00005064
5;0.010332999999999981;-0.000124000000000013;0.0014136000000000148;0.00005064
6;0.013494600000000023;0.00020752000000001658;0.0020728000000000413;0.00005064
7;0.01665620000000001;0.00020752000000001658;0.0020728000000000413;0.00005064
8;0.01948500000000003;0.00037327999999997585;0.002732000000000012;0.00005064
9;0.022313799999999995;0.00037327999999997585;0.003226400000000018;0.00005064
10;0.025142600000000015;0.00037327999999997585;0.0038856000000000446;0.00005064
11;0.0283042;0.00037327999999997585;0.0048744000000000565;0.00005064
12;0.03096660000000001;0.0007048000000000054;0.005368800000000007;0.00005064
13;0.03312979999999999;0.00037327999999997585;0.006192800000000054;0.00005064
14;0.03312979999999999;0.00037327999999997585;0.006687200000000004;0.00005064
15;0.03595860000000001;0.0007048000000000054;0.00718160000000001;0.00005064
16;0.038454600000000005;0.0008705600000000202;0.008005600000000057;0.00005064
17;0.041117000000000015;0.0007048000000000054;0.008664800000000028;0.00005064
18;0.04328019999999999;0.0008705600000000202;0.009324000000000054;0.00005064
19;0.04544340000000002;0.0007048000000000054;0.009324000000000054;0.00005064
20;0.04827219999999999;0.0010363199999999795;0.009983200000000025;0.00005064
21;0.05026900000000001;0.0010363199999999795;0.010642400000000052;0.00005064
22;0.05309780000000003;0.0012020799999999943;0.011301600000000023;0.00005064
23;0.05576019999999998;0.0012020799999999943;0.01196080000000005;0.00005064
24;0.057923400000000014;0.0012020799999999943;0.01262000000000002;0.00005064
25;0.057923400000000014;0.0012020799999999943;0.013279200000000047;0.00005064
26;0.05958740000000001;0.0012020799999999943;0.014103200000000038;0.00005064
27;0.06208340000000001;0.0012020799999999943;0.01492720000000003;0.00005064
28;0.06474580000000002;0.0012020799999999943;0.015586400000000056;0.00005064
29;0.06674260000000001;0.001367840000000009;0.016245600000000027;0.00005064
30;0.0687394;0.001367840000000009;0.016245600000000027;0.00005064
31;0.0707362;0.001699359999999983;0.017564000000000024;0.00005064
32;0.0732322;0.001367840000000009;0.01822320000000005;0.00005064
33;0.07472980000000001;0.001367840000000009;0.01888240000000002;0.00005064
34;0.0775586;0.001699359999999983;0.019212000000000007;0.00005064
35;0.07905620000000002;0.001367840000000009;0.020530400000000004;0.00005064
36;0.0808866;0.001367840000000009;0.02102480000000001;0.00005064
37;0.0808866;0.0020308800000000127;0.021684000000000037;0.00005064
38;0.08304980000000001;0.001699359999999983;0.022178400000000043;0.00005064
39;0.0847138;0.001699359999999983;0.023002400000000034;0.00005064
40;0.08704340000000002;0.001699359999999983;0.023991200000000046;0.00005064
41;0.08937300000000001;0.001699359999999983;0.023991200000000046;0.00005064
42;0.0905378;0.001699359999999983;0.024650400000000017;0.00005064
43;0.092701;0.0020308800000000127;0.02563920000000003;0.00005064
44;0.09486420000000001;0.0020308800000000127;0.025968800000000014;0.00005064
45;0.09652820000000001;0.0020308800000000127;0.026792800000000006;0.00005064
46;0.09819220000000001;0.0023623999999999867;0.027616800000000052;0.00005064
47;0.100189;0.0023623999999999867;0.028111200000000003;0.00005064
48;0.100189;0.0021966400000000275;0.02959440000000002;0.00005064
49;0.101853;0.0023623999999999867;0.029924000000000006;0.00005064
50;0.103517;0.0023623999999999867;0.030583200000000033;0.00005064
51;0.10551380000000002;0.0026939200000000163;0.031407200000000024;0.00005064
52;0.1073442;0.0028596799999999756;0.031407200000000024;0.00005064
53;0.1090082;0.0028596799999999756;0.03206640000000005;0.00005064
54;0.11050580000000002;0.003191200000000005;0.03289040000000004;0.00005064
55;0.11250260000000001;0.00335696000000002;0.033879200000000054;0.00005064
56;0.11416660000000001;0.0030254399999999904;0.034703200000000045;0.00005064
57;0.11599700000000002;0.003688479999999994;0.035362400000000016;0.00005064
58;0.1174946;0.0038542400000000088;0.03585680000000002;0.00005064
59;0.1174946;0.0038542400000000088;0.037010400000000054;0.00005064
60;0.1191586;0.0040200000000000236;0.037669600000000025;0.00005064
61;0.1211554;0.0040200000000000236;0.03832880000000005;0.00005064
62;0.1221538;0.004185759999999983;0.03898800000000002;0.00005064
63;0.12431700000000001;0.004351519999999998;0.03898800000000002;0.00005064
64;0.125981;0.004683040000000027;0.039976800000000035;0.00005064
65;0.1271458;0.0048487999999999865;0.040636000000000005;0.00005064
66;0.12914260000000002;0.005180320000000016;0.04146000000000005;0.00005064
67;0.13080660000000002;0.005346079999999975;0.04261360000000003;0.00005064
68;0.1323042;0.005677600000000005;0.043272800000000056;0.00005064
69;0.1339682;0.005677600000000005;0.04393200000000003;0.00005064
70;0.1339682;0.00584336000000002;0.04475600000000002;0.00005064
71;0.135133;0.006009119999999979;0.04558000000000001;0.00005064
72;0.13712980000000002;0.006174879999999994;0.04656880000000002;0.00005064
73;0.1386274;0.0066721599999999825;0.04722800000000005;0.00005064
74;0.13995860000000002;0.006837919999999997;0.04722800000000005;0.00005064
75;0.14162260000000002;0.006837919999999997;0.047722400000000054;0.00005064
76;0.1431202;0.007003680000000012;0.04887600000000003;0.00005064
77;0.14461780000000002;0.007335199999999986;0.0495352;0.00005064
78;0.1461154;0.007335199999999986;0.05019440000000003;0.00005064
79;0.14761300000000002;0.007666720000000016;0.050853600000000054;0.00005064
