time;x1;x2;x3
0;29768;31176;-27312
1;29784;31176;-27312
2;29768;31160;-27280
3;29768;31160;-27312
4;29784;31160;-27280
5;29768;31160;-27280
6;29768;31176;-27312
7;29784;31176;-27312
8;29784;31176;-27312
9;29768;31160;-27280
10;29768;31176;-27280
11;29768;31176;-27312
12;29800;31176;-27312
13;29768;31176;-27312
14;29768;31176;-27280
15;29768;31176;-27312
16;29768;31176;-27136
17;29784;30936;-26736
18;29784;29576;-26256
19;29768;29736;-25808
20;29784;29096;-25392
21;29768;28600;-24720
22;29768;28168;-24256
23;29768;27592;-23888
24;29784;27144;-23280
25;29784;26616;-22816
26;29768;26056;-22384
27;29768;25592;-21840
28;29768;25160;-21488
29;29784;24776;-21040
30;29768;24232;-20432
31;29768;23800;-20032
32;29768;23416;-19632
33;29784;22920;-19072
34;29768;22568;-18720
35;29768;22120;-18256
36;29768;21640;-17936
37;29768;21176;-17296
38;29784;20808;-16976
39;29768;20264;-16560
40;29768;19976;-16048
41;29768;19384;-15664
42;29768;19064;-15328
43;29768;18776;-14768
44;29784;18200;-14400
45;29784;17848;-14096
46;29784;17560;-13792
47;29784;17048;-13328
48;29784;16728;-12944
49;29768;16296;-12560
50;29784;15976;-12208
51;29768;15544;-11808
52;29784;15208;-11536
53;29784;14888;-11120
54;29784;14440;-10832
55;29784;14168;-10432
56;29784;13880;-10128
57;29784;13480;-9808
58;29768;13160;-9456
59;29784;12872;-9088
60;29768;12568;-8832
61;29768;12184;-8448
62;29784;11880;-8112
63;29784;11432;-7824
64;29784;11208;-7488
65;29768;10952;-7216
66;29768;10648;-6928
67;29768;10376;-6608
68;29784;10136;-6384
69;29784;9784;-6096
70;29784;9544;-5840
71;29784;9320;-5584
72;29768;8968;-5280
73;29768;8808;-5040
74;29784;8568;-4800
75;29784;8264;-4528
76;29768;8056;-4304
77;29784;7768;-4096
78;29784;7560;-3792
79;29768;7336;-3616
80;29784;7096;-3408
81;29784;6856;-3152
82;29768;6664;-2960
83;29784;6488;-2784
84;29784;6264;-2512
85;29784;6088;-2320
86;29784;5864;-2192
87;29784;5672;-1936
88;29784;5528;-1792
89;29768;5320;-1616
90;29768;5176;-1408
91;29768;5032;-1264
92;29784;4840;-1120
93;29768;4696;-960
94;29768;4568;-784
95;29784;4424;-688
96;29784;4264;-464
97;29784;4136;-400
98;29784;4040;-288
99;29784;3880;-112
100;29784;3768;-16
101;29768;3656;88
102;29768;3560;200
103;29784;3448;296
104;29784;3352;392
105;29784;3240;520
106;29784;3144;616
107;29784;3048;680
108;29784;2984;792
109;29784;2904;872
110;29784;2808;952
111;29784;2760;1000
112;29784;2712;1080
113;29768;2632;1176
114;29768;2568;1192
115;29768;2504;1256
116;29768;2472;1304
117;29784;2440;1384
118;29784;2376;1400
119;29784;2360;1432
120;29784;2280;1480
121;29784;2264;1496
122;29784;2248;1528
123;29784;2232;1544
124;29784;2216;1576
125;29784;2216;1592
126;29768;2184;1592
127;29784;2184;1624
128;29784;2168;1624
129;29784;2168;1624
130;29768;2184;1592
131;29784;2184;1624
132;29768;2168;1624
133;29784;2184;1592
134;29784;2184;1592
135;29784;2184;1592
136;29768;2184;1624
137;29784;2168;1624
138;29784;2168;1624
139;29784;2168;1624
140;29784;2168;1624
141;29784;2184;1624
142;29768;2168;1624
143;29784;2184;1624
144;29784;2184;1592
145;29768;2168;1624
146;29784;2184;1592
147;29784;2184;1592
148;29784;2184;1624
149;29784;2184;1624
150;29784;2168;1624
151;29784;2168;1576
152;29784;2168;1624
153;29784;2168;1624
154;29784;2152;1624
155;29784;2280;1960
156;29784;2824;2360
157;29768;3400;2984
158;29784;4136;3592
159;29768;5176;3960
160;29768;6056;4664
161;29784;7288;5112
162;29784;8184;5864
163;29784;9016;6440
164;29784;10136;6968
165;29768;10952;7768
166;29784;11704;8296
167;29784;12728;8920
168;29784;13528;9656
169;29784;14248;10216
170;29784;15240;10712
171;29784;15928;11512
172;29784;16600;12056
173;29784;17528;12632
174;29784;18168;13352
175;29784;18792;13880
176;29800;19624;14440
177;29784;20200;15192
178;29784;20792;15704
179;29800;21512;16424
180;29784;22056;16952
181;29768;22728;17528
182;29784;23272;18040
183;29784;23864;18712
184;29784;24344;19224
185;29784;24984;19704
186;29784;25448;20472
187;29784;25912;20888
188;29784;26504;21432
189;29784;27000;21976
190;29784;27432;22456
191;29784;27848;22888
192;29800;28360;23528
193;29784;28776;23944
194;29784;29256;24424
195;29784;29592;24952
196;29784;29944;25432
197;29784;30392;25832
198;29784;30728;26408
199;29784;30968;26776
200;29768;31000;27304
201;29784;31032;27672
202;29784;31064;28040
203;29784;31080;28536
204;29784;31080;28856
205;29784;31096;29192
206;29784;31096;29608
207;29784;31096;29880
208;29784;31128;30152
209;29784;31160;30584
210;29800;31160;30728
211;29800;31176;30776
212;29784;31176;30808
213;29784;31176;30856
214;29784;31224;30856
215;29784;31192;30856
216;29784;31224;30856
217;29784;31256;30856
218;29784;31256;30856
219;29784;31256;30872
220;29784;31256;30872
221;29784;31256;30872
222;29784;31256;30904
223;29784;31256;30904
224;29768;31256;30872
225;29784;31288;30920
226;29784;31272;30872
227;29784;31272;30872
228;29784;31272;30920
229;29784;31272;30920
230;29800;31288;30904
231;29784;31288;30872
232;29800;31288;30872
233;29784;31272;30904
234;29768;31288;30920
235;29768;31288;30920
236;29800;31272;30920
237;29784;31272;30920
238;29784;31288;30920
239;29784;31288;30920
240;29784;31272;30920
241;29784;31288;30920
242;29768;31304;30920
243;29784;31288;30920
244;29784;31288;30920
245;29800;31288;30920
246;29784;31288;30920
247;29784;31272;30904
248;29784;31288;30920
249;29784;31288;30920
250;29784;31288;30920
251;29784;31288;30920
252;29784;31304;30920
253;29784;31288;30920
254;29800;31272;30920
255;29800;31288;30920
256;29784;31288;30920
257;29784;31288;30920
258;29784;31288;30920
259;29784;31288;30920
260;29784;31288;30920
261;29784;31288;30920
262;29784;31288;30920
263;29784;31288;30920
264;29784;31288;30920
265;29800;31288;30936
266;29800;31288;30920
267;29784;31288;30904
268;29784;31288;30936
269;29800;31304;30920
270;29784;31288;30920
271;29784;31288;30920
272;29784;31288;30920
273;29784;31304;30920
274;29800;31288;30920
275;29800;31304;30920
276;29784;31320;30920
277;29784;31288;30920
278;29784;31304;30920
279;29784;31288;30936
280;29784;31288;30936
281;29800;31304;30936
282;29784;31304;30920
283;29784;31288;30920
284;29784;31304;30936
285;29784;31288;30936
286;29784;31288;30936
287;29800;31304;30920
288;29800;31288;30936
289;29784;31304;30936
290;29784;31288;30936
291;29784;31304;30920
292;29784;31304;30936
293;29784;31288;30920
294;29784;31288;30952
295;29784;31304;30936
296;29784;31304;30936
297;29800;31304;30952
298;29800;31304;30936
299;29784;31320;30936
300;29784;31304;30936
301;29784;31304;30920
302;29784;31288;30936
303;29784;31304;30936
304;29800;31320;30936
305;29784;31304;30952
306;29784;31304;30936
307;29784;31288;30936
308;29784;31304;30936
309;29784;31288;30936
310;29784;31304;30936
311;29800;31304;30936
312;29784;31304;30936
313;29784;31288;30936
314;29784;31304;30936
315;29784;31304;30920
316;29784;31288;30936
317;29784;31304;30936
318;29784;31304;30936
319;29784;31288;30936
320;29784;31304;30936
321;29784;31304;30920
322;29784;31304;30936
323;29800;31304;30936
324;29784;31304;30936
325;29784;31304;30936
326;29832;31304;30936
327;29784;31304;30936
328;29784;31304;30936
329;29784;31304;30936
330;29800;31304;30936
331;29784;31288;30936
332;29784;31272;30936
333;29784;31288;30936
334;29784;31304;30936
335;29784;31304;30936
336;29784;31304;30920
337;29784;31304;30936
338;29800;31288;30952
339;29784;31288;30936
340;29800;31304;30936
341;29784;31304;30936
342;29784;31304;30936
343;29784;31304;30936
344;29784;31304;30936
345;29784;31304;30936
346;29784;31304;30936
347;29784;31288;30920
348;29784;31304;30936
349;29784;31304;30936
350;29784;31304;30936
351;29800;31304;30936
352;29784;31304;30936
353;29800;31304;30936
354;29784;31304;30936
355;29784;31304;30936
356;29784;31304;30936
357;29784;31320;30936
358;29784;31288;30936
359;29784;31304;30936
360;29784;31304;30936
361;29800;31304;30952
362;29784;31304;30936
363;29784;31304;30936
364;29784;31304;30936
365;29784;31304;30936
366;29784;31304;30936
367;29784;31304;30936
368;29784;31304;30936
369;29784;31304;30936
370;29784;31304;30936
371;29784;31288;30936
372;29784;31304;30936
373;29784;31304;30936
374;29784;31304;30936
375;29784;31304;30936
376;29784;31304;30936
377;29784;31304;30936
378;29768;31304;30936
379;29784;31288;30936
380;29784;31304;30936
381;29800;31304;30936
382;29784;31304;30936
383;29784;31304;30936
384;29784;31304;30936
385;29800;31304;30936
386;29784;31304;30936
387;29800;31304;30936
388;29800;31304;30936
389;29784;31304;30936
390;29784;31304;30936
391;29784;31304;30936
392;29784;31304;30936
393;29784;31320;30936
394;29784;31304;30936
395;29800;31304;30936
396;29800;31304;30936
397;29800;31320;30936
398;29800;31304;30952
399;29784;31304;30936
400;29784;31304;30936
401;29784;31304;30936
402;29784;31320;30952
403;29784;31304;30936
404;29784;31304;30936
405;29784;31304;30936
406;29800;31304;30936
407;29800;31304;30952
408;29784;31304;30936
409;29784;31304;30952
410;29784;31304;30936
411;29800;31304;30936
412;29784;31304;30936
413;29784;31304;30936
414;29784;31304;30936
415;29784;31304;30936
416;29784;31304;30936
417;29784;31288;30952
418;29800;31304;30936
419;29784;31304;30952
420;29800;31304;30968
421;29784;31304;30952
422;29784;31320;30936
423;29784;31288;30936
424;29800;31304;30936
425;29784;31304;30952
426;29784;31304;30936
427;29784;31304;30936
428;29784;31304;30936
429;29784;31304;30936
430;29784;31304;30952
431;29784;31304;30952
432;29784;31304;30952
433;29784;31304;30952
434;29784;31304;30952
435;29784;31304;30936
436;29784;31304;30936
437;29800;31304;30952
438;29800;31304;30936
439;29784;31304;30952
440;29784;31304;30936
441;29784;31304;30936
442;29784;31304;30936
443;29784;31304;30936
444;29784;31304;30936
445;29800;31304;30936
446;29800;31320;30952
447;29784;31304;30952
448;29800;31304;30936
449;29784;31304;30936
450;29784;31304;30936
451;29784;31304;30936
452;29784;31288;30952
453;29784;31304;30936
454;29784;31304;30936
455;29800;31304;30936
456;29800;31304;30936
457;29800;31304;30936
458;29784;31304;30952
459;29784;31304;30936
460;29784;31304;30936
461;29784;31304;30936
462;29784;31320;30936
463;29800;31320;30936
464;29784;31304;30952
465;29800;31304;30936
466;29784;31304;30936
467;29784;31304;30936
468;29800;31304;30936
469;29800;31304;30936
470;29832;31304;30952
471;29784;31304;30952
472;29800;31304;30952
473;29784;31304;30936
474;29784;31304;30936
475;29784;31304;30920
476;29784;31304;30936
477;29800;31304;30968
478;29784;31304;30952
479;29800;31304;30936
480;29784;31304;30936
481;29784;31304;30936
482;29784;31304;30936
483;29784;31320;30936
484;29800;31304;30952
485;29784;31304;30936
486;29784;31304;30952
487;29784;31320;30936
488;29784;31304;30936
489;29784;31304;30936
490;29784;31304;30936
491;29784;31304;30952
492;29784;31320;30936
493;29784;31304;30952
494;29800;31304;30952
495;29800;31304;30936
496;29800;31304;30936
497;29784;31320;30952
498;29784;31304;30936
499;29784;31304;30936
500;29784;31304;30952
501;29800;31304;30952
502;29784;31304;30952
503;29784;31304;30952
504;29800;31320;30952
505;29784;31304;30936
506;29784;31320;30936
507;29784;31304;30936
508;29784;31304;30936
509;29832;31320;30952
510;29832;31304;30952
511;29784;31304;30936
512;29800;31320;30936
513;29784;31304;30936
514;29784;31304;30968
515;29784;31304;30968
516;29784;31304;30936
517;29784;31304;30968
518;29784;31304;30936
519;29784;31304;30952
520;29784;31304;30936
521;29800;31320;30936
522;29784;31304;30936
523;29800;31304;30936
524;29800;31320;30952
525;29784;31304;30936
526;29784;31304;30936
527;29800;31304;30936
528;29800;31304;30952
529;29800;31304;30952
530;29784;31320;30936
531;29784;31304;30952
532;29800;31304;30952
533;29784;31304;30936
534;29784;31320;30936
535;29784;31304;30936
536;29784;31304;30936
537;29784;31320;30936
538;29832;31304;30952
539;29800;31320;30952
540;29784;31304;30952
541;29768;31320;30936
542;29832;31320;30952
543;29800;31304;30968
544;29784;31320;30952
545;29784;31304;30936
546;29800;31320;30936
547;29800;31304;30952
548;29784;31304;30952
549;29784;31320;30952
550;29800;31304;30952
551;29784;31304;30952
552;29784;31304;30936
553;29800;31304;30936
554;29800;31320;30952
555;29832;31304;30936
556;29800;31304;30952
557;29784;31304;30936
558;29768;31304;30952
559;29784;31304;30936
560;29800;31320;30952
561;29784;31304;30936
562;29784;31304;30952
563;29784;31304;30936
564;29784;31304;30952
565;29784;31304;30936
566;29784;31320;30936
567;29800;31320;30952
568;29784;31304;30952
569;29784;31304;30936
570;29784;31304;30936
571;29784;31304;30936
572;29784;31304;30936
573;29800;31304;30952
574;29800;31320;30952
575;29784;31304;30936
576;29832;31304;30936
577;29784;31304;30936
578;29800;31304;30952
579;29832;31304;30968
580;29800;31320;30936
581;29784;31304;30968
582;29784;31320;30936
583;29784;31320;30952
584;29784;31320;30936
585;29784;31320;30952
586;29800;31304;30952
587;29784;31304;30952
588;29800;31304;30952
589;29784;31304;30952
590;29784;31304;30936
591;29784;31320;30936
592;29784;31304;30936
593;29800;31304;30952
594;29784;31304;30968
595;29800;31304;30952
596;29784;31320;30952
597;29784;31304;30952
598;29784;31304;30936
599;29800;31320;30952
600;29800;31304;30936
