time;x1;x2;x3
0;29832;31448;31320
1;29832;31464;31320
2;29832;31448;31320
3;29800;31448;31304
4;29832;31448;31320
5;29832;31464;31320
6;29832;31448;31320
7;29800;31448;31320
8;29832;31464;31320
9;29832;31448;31320
10;29832;31448;31304
11;29800;31464;31320
12;29832;31448;31320
13;29832;31464;31320
14;29832;31464;31320
15;29832;31464;31320
16;29784;31448;31320
17;29800;30968;31320
18;29832;30232;31320
19;29800;29880;31320
20;29832;29496;31320
21;29832;28920;31320
22;29848;28600;31336
23;28920;28216;31320
24;28376;27720;31320
25;27800;27368;31320
26;27048;27016;31320
27;26472;26568;31320
28;25960;26200;31320
29;25368;25864;31320
30;24616;25400;31320
31;24040;25048;31320
32;23304;24792;31320
33;22680;24408;31336
34;22152;24152;31320
35;21400;23896;31320
36;20840;23640;31320
37;20152;23368;31320
38;19576;23160;31320
39;19000;22824;31320
40;18264;22632;31320
41;17672;22408;31320
42;17096;22184;31320
43;16344;21928;31320
44;15800;21736;31304
45;15032;21464;31320
46;14552;21240;31320
47;13976;21048;31320
48;13208;20792;31320
49;12600;20616;31320
50;11912;20424;31320
51;11320;20200;31304
52;10760;20008;31320
53;10024;19800;31320
54;9480;19576;31320
55;8936;19368;31304
56;8168;19240;31320
57;7624;19032;31320
58;6792;18856;31320
59;6328;18696;31320
60;5752;18488;31320
61;5000;17976;31320
62;4424;17256;31320
63;3896;16648;31304
64;3096;16104;31336
65;2616;15592;31320
66;1832;14856;31320
67;1288;14312;31304
68;520;14360;31320
69;-32;14312;31320
70;-624;14280;31320
71;-1184;14280;31320
72;-1936;14280;31320
73;-2528;14312;31320
74;-3104;14664;31320
75;-3840;15240;31320
76;-4400;15624;31320
77;-5152;16072;31320
78;-5696;16472;31304
79;-6400;16968;31320
80;-6960;17400;31320
81;-7680;17832;31320
82;-8304;18360;31320
83;-8832;18744;31320
84;-9392;19096;31320
85;-10144;19608;31320
86;-10688;19976;31320
87;-11440;20328;31320
88;-11936;20808;31304
89;-12768;21192;31320
90;-13248;21480;31320
91;-13808;21944;31320
92;-14496;22328;31320
93;-15008;22696;31304
94;-15648;22952;31320
95;-16464;23416;31304
96;-17072;23720;31320
97;-17744;24024;31320
98;-18384;24488;31320
99;-18976;24808;31320
100;-19552;25096;31320
101;-20320;25432;31320
102;-20880;25784;31320
103;-21600;26008;31320
104;-22176;26408;31320
105;-22656;26680;31320
106;-23424;27064;31320
107;-24048;27304;31336
108;-24752;27672;31336
109;-25328;27944;31320
110;-25888;28232;31320
111;-26592;28536;31320
112;-27184;28808;31320
113;-27952;29032;31320
114;-28464;29352;31320
115;-29056;29640;31320
116;-29488;29944;31320
117;-29488;30200;31320
118;-29488;30408;31320
119;-29488;30712;31320
120;-29472;30968;31304
121;-29488;31160;31320
122;-29488;31192;31320
123;-29488;31256;31320
124;-29488;31288;31320
125;-29488;31304;31320
126;-29536;31304;31304
127;-29536;31320;31320
128;-29488;31320;31304
129;-29488;31320;31320
130;-29536;31320;31320
131;-29488;31320;31320
132;-29488;31288;31320
133;-29536;30936;31320
134;-29488;30136;31320
135;-29536;29592;31320
136;-29536;29112;31320
137;-29488;28264;31320
138;-29536;27768;31320
139;-29424;27240;31320
140;-29296;26504;31320
141;-29088;25960;31304
142;-28864;25256;31320
143;-28656;24632;31320
144;-28480;24104;31320
145;-28240;23432;31320
146;-28080;22872;31320
147;-27920;22312;31320
148;-27952;21608;31320
149;-27920;21048;31304
150;-27920;20488;31320
151;-27920;19784;31320
152;-27920;19192;31320
153;-27968;18680;31320
154;-27920;17944;31304
155;-28000;17400;31320
156;-27920;16744;31320
157;-27856;16008;31320
158;-27856;15464;31320
159;-27856;14824;31320
160;-27856;14264;31320
161;-27888;13720;31320
162;-27856;13128;31320
163;-27856;12392;31320
164;-27776;11864;31304
165;-27872;11320;31320
166;-27856;10584;31320
167;-27808;10056;31320
168;-27872;9496;31320
169;-27824;8776;31320
170;-27808;8264;31320
171;-27856;7560;31320
172;-27808;6952;31320
173;-27824;6472;31320
174;-27856;5752;31320
175;-27856;5224;31320
176;-27808;4472;31320
177;-27856;3944;31320
178;-27808;3368;31320
179;-27808;2664;31320
180;-27856;2136;31320
181;-27856;1560;31320
182;-27856;1000;31320
183;-27808;296;31320
184;-27856;-272;31320
185;-27856;-816;31304
186;-27856;-1504;31320
187;-27808;-2096;31320
188;-27856;-2848;31320
189;-27824;-3408;31304
190;-27808;-3952;31320
191;-27872;-4672;31320
192;-27856;-5248;31320
193;-27856;-5792;31320
194;-27856;-6528;31304
195;-27872;-7088;31320
196;-27856;-7632;31320
197;-27856;-8240;31304
198;-27856;-8928;31320
199;-27808;-9488;31320
200;-27808;-10016;31304
201;-27808;-10752;31320
202;-27872;-11312;31320
203;-27808;-11792;31320
204;-27808;-12560;31320
205;-27808;-13088;31320
206;-27808;-13616;31320
207;-27856;-14400;31320
208;-27872;-14880;31320
209;-27856;-15648;31320
210;-27856;-16208;31320
211;-27856;-16752;31320
212;-27824;-17312;31304
213;-27856;-17920;31320
214;-27856;-18624;31320
215;-27824;-19168;31320
216;-27856;-19952;31320
217;-27872;-20480;31320
218;-27808;-21008;31320
219;-27856;-21744;31320
220;-27808;-22240;31320
221;-27872;-22800;31320
222;-27856;-23552;31320
223;-27824;-24096;31304
224;-27888;-24624;31304
225;-27808;-25392;31304
226;-27856;-25888;31320
227;-27856;-26432;31320
228;-27856;-27008;31320
229;-27808;-27696;31320
230;-27856;-28240;31320
231;-27824;-28976;31320
232;-27856;-29552;31304
233;-27872;-30112;31320
234;-27856;-31856;31320
235;-27824;-31856;31320
236;-27856;-31856;31320
237;-27856;-31856;31320
238;-27824;-31856;31304
239;-27856;-31808;31320
240;-27856;-31792;31320
241;-27856;-31792;31304
242;-27856;-30048;31320
243;-27856;-30032;31320
244;-27856;-29968;31320
245;-27856;-29856;31304
246;-27856;-29696;31320
247;-27856;-29504;31320
248;-27856;-29312;31320
249;-27856;-29184;31320
250;-27856;-29024;31320
251;-27856;-28368;31320
252;-27856;-27760;31320
253;-27856;-27552;31320
254;-27856;-27552;31320
255;-27856;-27392;31320
256;-27856;-27024;31320
257;-27856;-26784;31320
258;-27856;-26800;31320
259;-27856;-26800;31320
260;-27856;-26784;31320
261;-27856;-26800;31304
262;-27856;-26800;31320
263;-27856;-26736;31304
264;-27856;-26544;31320
265;-27856;-26528;31304
266;-27856;-26528;31320
267;-27856;-26544;31320
268;-27856;-26544;31320
269;-27856;-26544;31320
270;-27856;-26544;31320
271;-27872;-26528;31320
272;-27856;-26528;31320
273;-27856;-26544;31320
274;-27856;-26544;31320
275;-27856;-26528;31320
276;-27856;-26544;31304
277;-27856;-26544;31320
278;-27856;-26528;31320
279;-27856;-26544;31320
280;-27856;-26544;31320
281;-27856;-26544;31304
282;-27856;-26544;31320
283;-27856;-26528;31304
