time;y1;y2;y3;u1;v3;u2
0;-0.0003166000000000002;-0.00028975999999997226;-0.0007287999999999739;0.00010128;0.5015967200000001;0.00005064
1;-0.00015019999999998923;-0.00028975999999997226;-0.0005639999999999534;0.00010128;0.5015967200000001;0.00005064
2;-0.00015019999999998923;0.0012020799999999943;-0.00006959999999994748;0.00010128;0.5015967200000001;0.00005064
3;0.007670600000000027;0.0040200000000000236;-0.00006959999999994748;0.00010128;0.5015967200000001;0.00005064
4;0.014493000000000034;0.006009119999999979;0.0007544000000000439;0.00010128;0.5008916800000001;0.00005064
5;0.021814600000000017;0.00832976000000002;0.002732000000000012;0.00010128;0.5015967200000001;0.00005064
6;0.027638600000000013;0.010650400000000004;0.0040504000000000095;0.00010128;0.5015967200000001;0.00005064
7;0.0341282;0.012805279999999974;0.006192800000000054;0.00010128;0.5015967200000001;0.00005064
8;0.040285000000000015;0.012805279999999974;0.00718160000000001;0.00010128;0.50230176;0.00005064
9;0.04694100000000001;0.01496016;0.009324000000000054;0.00010128;0.50230176;0.00005064
10;0.05293140000000002;0.01661775999999998;0.010972000000000037;0.00010128;0.5015967200000001;0.00005064
11;0.059088200000000035;0.018772640000000007;0.01278480000000004;0.00010128;0.5015967200000001;0.00005064
12;0.0649122;0.02043023999999999;0.01509200000000005;0.00010128;0.5015967200000001;0.00005064
13;0.0649122;0.022087840000000025;0.016904800000000053;0.00010128;0.5015967200000001;0.00005064
14;0.07106900000000002;0.02440848000000001;0.019541600000000048;0.00010128;0.5015967200000001;0.00005064
15;0.0767266;0.02606607999999999;0.019541600000000048;0.00010128;0.50230176;0.00005064
16;0.08271700000000001;0.02772368000000003;0.021519200000000016;0.00010128;0.50230176;0.00005064
17;0.0880418;0.029712799999999984;0.023826400000000025;0.00010128;0.50230176;0.00005064
18;0.0938658;0.031701919999999995;0.02580400000000005;0.00010128;0.5015967200000001;0.00005064
19;0.099357;0.031701919999999995;0.028440800000000044;0.00010128;0.5015967200000001;0.00005064
20;0.10468180000000002;0.033028;0.030748000000000053;0.00010128;0.5015967200000001;0.00005064
21;0.11017300000000002;0.03485136;0.03305520000000001;0.00010128;0.5015967200000001;0.00005064
22;0.11599700000000002;0.037006240000000024;0.035692;0.00010128;0.5015967200000001;0.00005064
23;0.12132180000000001;0.038663840000000005;0.037834400000000046;0.00010128;0.5015967200000001;0.00005064
24;0.12132180000000001;0.0404872;0.039976800000000035;0.00010128;0.5015967200000001;0.00005064
25;0.12648020000000001;0.04197904000000002;0.042943200000000015;0.00010128;0.5015967200000001;0.00005064
26;0.131805;0.04429968000000001;0.042943200000000015;0.00010128;0.5015967200000001;0.00005064
27;0.1372962;0.04579152000000003;0.04574480000000003;0.00010128;0.5015967200000001;0.00005064
28;0.14212180000000002;0.04827792000000003;0.04722800000000005;0.00010128;0.5015967200000001;0.00005064
29;0.1477794;0.050598560000000015;0.05019440000000003;0.00010128;0.50230176;0.00005064
30;0.15310420000000002;0.050598560000000015;0.05233680000000002;0.00010128;0.50230176;0.00005064
31;0.15809620000000002;0.052587680000000026;0.054479200000000005;0.00010128;0.50230176;0.00005064
32;0.16308820000000002;0.05457679999999998;0.056786400000000015;0.00010128;0.5015967200000001;0.00005064
33;0.16824660000000002;0.05656591999999999;0.05859920000000002;0.00010128;0.5008916800000001;0.00005064
34;0.1729058;0.05838927999999999;0.06123600000000001;0.00010128;0.5015967200000001;0.00005064
35;0.1729058;0.060046880000000025;0.0633784;0.00010128;0.5015967200000001;0.00005064
36;0.1777314;0.062201759999999995;0.0651912;0.00010128;0.50230176;0.00005064
37;0.1830562;0.06419088;0.0651912;0.00010128;0.5015967200000001;0.00005064
38;0.18838100000000002;0.06601424;0.06815760000000004;0.00010128;0.5015967200000001;0.00005064
39;0.19270740000000003;0.06816912000000003;0.06997040000000002;0.00010128;0.5015967200000001;0.00005064
40;0.19753300000000001;0.06966096;0.07260720000000004;0.00010128;0.5015967200000001;0.00005064
41;0.2023586;0.07131856000000003;0.07458480000000003;0.00010128;0.5015967200000001;0.00005064
42;0.20701780000000003;0.07131856000000003;0.07738640000000002;0.00010128;0.5015967200000001;0.00005064
43;0.21200980000000003;0.07363920000000002;0.07952880000000004;0.00010128;0.5008916800000001;0.00005064
44;0.216669;0.07546256000000001;0.08200080000000004;0.00010128;0.5015967200000001;0.00005064
45;0.22116180000000002;0.07745168;0.08414320000000003;0.00010128;0.5015967200000001;0.00005064
46;0.22116180000000002;0.0794408;0.08612080000000003;0.00010128;0.5008916800000001;0.00005064
47;0.225821;0.08126416;0.08842800000000003;0.00010128;0.5015967200000001;0.00005064
48;0.23081300000000002;0.08308752;0.08842800000000003;0.00010128;0.5015967200000001;0.00005064
49;0.23480660000000003;0.08507664000000001;0.09090000000000004;0.00010128;0.5008916800000001;0.00005064
50;0.239965;0.0869;0.09370160000000002;0.00010128;0.5001866400000001;0.00005064
51;0.2444578;0.08888912000000002;0.09600880000000003;0.00010128;0.5015967200000001;0.00005064
52;0.2487842;0.09038096000000001;0.09815120000000002;0.00010128;0.5015967200000001;0.00005064
53;0.25327700000000003;0.09038096000000001;0.10029360000000004;0.00010128;0.5008916800000001;0.00005064
54;0.2577698;0.09237008000000002;0.10276560000000004;0.00010128;0.5015967200000001;0.00005064
55;0.26259540000000003;0.09469072;0.10474320000000004;0.00010128;0.5008916800000001;0.00005064
56;0.2670882;0.09634832000000002;0.10721520000000004;0.00010128;0.5008916800000001;0.00005064
57;0.2670882;0.09833744;0.10985200000000003;0.00010128;0.5008916800000001;0.00005064
