time;y1;y2;y3;x1;x2;x3
0;-0.0006115447895748999;0.012076896292001118;-0.016440112181157884;0;0;0
0;-0.0006115447895748999;0.012076896292001118;-0.016604179688100837;0;0;0
1;-0.0006115447895748999;0.012076896292001118;-0.016440112181157884;0;0;0
2;-0.0006115447895748999;0.012076896292001118;-0.016440112181157884;0.007386012887871839;0.00005569474417145976;0.0005536660967355652
3;-0.0006115447895748999;0.012076896292001118;-0.016440112181157884;0.014676632401160093;0.00013502367945158818;0.001137286078159936
4;-0.00044894217108679146;0.012076896292001118;-0.016440112181157884;0.021902462365789563;0.00021579912669611806;0.0017844756477184112
5;-0.00012373693411057456;0.012076896292001118;-0.016604179688100837;0.02904169273005329;0.00031846857531255966;0.0024584907317862113
6;0.004916944239020964;0.012242916983550537;-0.016440112181157884;0.036135867453576;0.0004364437671585481;0.0031800922117565704
7;0.011095843741569262;0.012242916983550537;-0.015947909660329013;0.04314739610434127;0.000563684231395494;0.003936209917607423
8;0.012071459452497914;0.012242916983550537;-0.015455707139500145;0.05009013691925926;0.0007035304456610401;0.004709674840075322
9;0.019551179902951136;0.012408937675099957;-0.014471302097842347;0.056973883176820776;0.0008708163391379296;0.005526388409956075
10;0.02459186107608262;0.012574958366649376;-0.013979099577013479;0.06380515738070756;0.001047076127765912;0.006387052356354362
11;0.03142117105258341;0.013073020441297697;-0.012994694535355683;0.07057615251093723;0.0012363756510637104;0.007275949763395284
12;0.03906349412152471;0.013405061824396538;-0.011189951958983164;0.07727179481091061;0.0014508411758214746;0.008181620966270843
13;0.04491718838709676;0.013571082515945958;-0.010205546917325366;0.08390208242726359;0.0016621023418220216;0.009124335641255369
14;0.050770882652668846;0.013571082515945958;-0.009385209382610586;0.0904850379566766;0.001893051773286168;0.01009823935269798
15;0.055323755970336;0.013737103207495377;-0.009057074368724672;0.09702464552642735;0.0021239859263032907;0.011097051221418224
16;0.057925397866145825;0.014069144590594218;-0.007744534313180963;0.10349996543309964;0.002376797666686759;0.012139508066761987
17;0.06215306594683676;0.014069144590594218;-0.006760129271523226;0.10991820015675319;0.002635699269911209;0.013201361726904769
18;0.06979538901577806;0.014235165282143638;-0.006103859243751341;0.1162954560926959;0.002902302642008961;0.014293131786011075
19;0.07434826233344524;0.014401185973693057;-0.004627251681264735;0.12262618762082052;0.0031876772790623378;0.015391361865753982
20;0.07808812255867183;0.014401185973693057;-0.0038069141465498944;0.12890360467652084;0.0034955869551449117;0.016517864729653747
21;0.08068976445448166;0.014401185973693057;-0.0034787791326639818;0.13514058713732807;0.0038020839407559796;0.017684758708009958
22;0.08394181682424391;0.014567206665242478;-0.002822509104892157;0.14134055893489633;0.004101524680624017;0.018854575590320482
23;0.08800688228644674;0.014567206665242478;-0.0016740365562914034;0.14749444098261683;0.004425872965119429;0.020076149982238042
24;0.09207194774864957;0.014567206665242478;-0.0005255640076907099;0.15358439713036015;0.004754410308627383;0.021307073653129324
25;0.09613701321085237;0.014733227356791898;0.0011151110617389122;0.1596452228254832;0.005085014301103769;0.02255130083002814
26;0.09938906558061465;0.014733227356791898;0.0011151110617389122;0.1656775908624234;0.005421761872399305;0.023820138234609094
27;0.10150289962096012;0.014733227356791898;0.0022635836103396655;0.17166494976882357;0.005766114976243079;0.0250908654373757
28;0.10426714413525803;0.014733227356791898;0.0025917186242255777;0.17759936774387552;0.006119070239080004;0.02638169546601479
29;0.10638097817560349;0.014733227356791898;0.003576123665883315;0.18347882553127337;0.006503623278153965;0.027680925854476495
30;0.11044604363780633;0.014733227356791898;0.004396461200598156;0.18935054798430842;0.0068678403837979934;0.0290277378480945
31;0.11321028815210425;0.014733227356791898;0.005052731228369981;0.19517163271104837;0.007260390149340427;0.03038632925557443
32;0.11321028815210425;0.015065268739890739;0.005380866242255894;0.20097430870255018;0.007632239491159189;0.03173790696442417
33;0.11483631433698537;0.015065268739890739;0.00554493374919885;0.2067217487678123;0.008015416847878976;0.03311812169515903
34;0.11711275099581898;0.014733227356791898;0.006037136270027778;0.21242786755244172;0.00842519157200935;0.034510393728273685
35;0.11955179027314067;0.014733227356791898;0.006529338790856647;0.21811829789965456;0.008826680873063764;0.03592025176909894
36;0.12247863740592671;0.014733227356791898;0.00767781133945734;0.22378123004827816;0.009251214243360015;0.03733437523370547
37;0.12508027930173649;0.015065268739890739;0.008005946353343313;0.22941126055220004;0.009640244846032757;0.03878562139161414
38;0.1275193185790582;0.015065268739890739;0.008662216381115138;0.2350106668782938;0.010057853566158695;0.040240983199016485
39;0.1297957552378918;0.015231289431440219;0.009974756436658787;0.2405801307272999;0.010476024800861567;0.04169728747798305
40;0.13239739713370158;0.015397310122989638;0.010466958957487716;0.24612236622557093;0.010885079362380838;0.04316751066556144
41;0.13402342331858272;0.015231289431440219;0.010959161478316585;0.2516435569250962;0.01131323861224085;0.04464400228998714
42;0.1362998599774163;0.015397310122989638;0.011943566519974321;0.2571417347568149;0.011741550784124937;0.04615349359666797
43;0.1400397202026429;0.015397310122989638;0.012271701533860294;0.26261780032010257;0.01219277678189916;0.04765924427761448
44;0.1424787594799646;0.015563330814539058;0.013420174082460988;0.2680618781603344;0.01265381782897575;0.04918017992131629
45;0.14442999090182196;0.01572935150608848;0.01424051161717577;0.27348527421096047;0.013110049082672826;0.050723382650379976
46;0.1471942354161199;0.016061392889187318;0.015060849151890609;0.278870106858012;0.01356224688369111;0.05227446421381465
47;0.15077149302285836;0.01622741358073674;0.016045254193548346;0.28425673557399844;0.014019603808421589;0.05380085056389806
