time;y1;y2;y3;u1;v3;u2
0;-0.0009821999999999886;-0.0007870400000000166;-0.0008935999999999944;0.00005064;0.5008916800000001;0.00005064
1;-0.0009821999999999886;-0.0007870400000000166;-0.0008935999999999944;0.00005064;0.5015967200000001;0.00005064
2;0.0005153999999999992;0.0023623999999999867;-0.0007287999999999739;0.00005064;0.5015967200000001;0.00005064
3;0.006505800000000006;0.00335696000000002;-0.0005639999999999534;0.00005064;0.50230176;0.00005064
4;0.007504200000000016;0.007169440000000027;0.0007544000000000439;0.00005064;0.50230176;0.00005064
5;0.010832200000000014;0.007169440000000027;0.0019080000000000208;0.00005064;0.5008916800000001;0.00005064
6;0.014326600000000023;0.009158559999999982;0.003061600000000053;0.00005064;0.5008916800000001;0.00005064
7;0.017155399999999987;0.010318879999999975;0.0048744000000000565;0.00005064;0.5015967200000001;0.00005064
8;0.02031700000000003;0.012805279999999974;0.006192800000000054;0.00005064;0.5008916800000001;0.00005064
9;0.02031700000000003;0.015125920000000015;0.00718160000000001;0.00005064;0.5015967200000001;0.00005064
10;0.023645000000000027;0.016286240000000007;0.008664800000000028;0.00005064;0.5015967200000001;0.00005064
11;0.026473799999999992;0.018275360000000018;0.010148000000000046;0.00005064;0.5008916800000001;0.00005064
12;0.02896979999999999;0.02043023999999999;0.011796000000000029;0.00005064;0.5015967200000001;0.00005064
13;0.03196500000000002;0.021756319999999996;0.011796000000000029;0.00005064;0.5015967200000001;0.00005064
14;0.03462740000000003;0.023579679999999992;0.012949600000000006;0.00005064;0.5015967200000001;0.00005064
15;0.038121799999999983;0.025071520000000014;0.014762400000000009;0.00005064;0.5015967200000001;0.00005064
16;0.040118600000000004;0.026729119999999995;0.016245600000000027;0.00005064;0.5015967200000001;0.00005064
17;0.04328019999999999;0.026729119999999995;0.01789360000000001;0.00005064;0.5015967200000001;0.00005064
18;0.0459426;0.028386719999999976;0.019541600000000048;0.00005064;0.5008916800000001;0.00005064
19;0.04893780000000003;0.030044320000000013;0.02118960000000003;0.00005064;0.5008916800000001;0.00005064
20;0.05126740000000002;0.03153615999999998;0.023002400000000034;0.00005064;0.5015967200000001;0.00005064
21;0.05126740000000002;0.03286223999999999;0.024650400000000017;0.00005064;0.5015967200000001;0.00005064
22;0.05392980000000003;0.034519840000000024;0.026133600000000035;0.00005064;0.5001866400000001;0.00005064
23;0.056259400000000015;0.03601167999999999;0.028440800000000044;0.00005064;0.5015967200000001;0.00005064
24;0.059088200000000035;0.03750352000000001;0.028440800000000044;0.00005064;0.5015967200000001;0.00005064
25;0.061917;0.03882960000000002;0.030088800000000027;0.00005064;0.5015967200000001;0.00005064
26;0.06424660000000001;0.040321439999999986;0.03190160000000003;0.00005064;0.5015967200000001;0.00005064
27;0.06707540000000001;0.04164751999999999;0.03371440000000003;0.00005064;0.5015967200000001;0.00005064
28;0.0699042;0.04164751999999999;0.035362400000000016;0.00005064;0.5015967200000001;0.00005064
29;0.0720674;0.04330512000000003;0.037504800000000005;0.00005064;0.5015967200000001;0.00005064
30;0.07439700000000002;0.04463119999999998;0.03898800000000002;0.00005064;0.5015967200000001;0.00005064
31;0.07689300000000002;0.04662031999999999;0.040800800000000026;0.00005064;0.5015967200000001;0.00005064
32;0.07689300000000002;0.047780639999999985;0.04277840000000005;0.00005064;0.5008916800000001;0.00005064
33;0.07888980000000001;0.04894095999999998;0.04442640000000003;0.00005064;0.5015967200000001;0.00005064
34;0.08155220000000002;0.050598560000000015;0.046404000000000056;0.00005064;0.5015967200000001;0.00005064
35;0.08438100000000001;0.05192464000000002;0.046404000000000056;0.00005064;0.5008916800000001;0.00005064
36;0.08704340000000002;0.05358224;0.04788720000000002;0.00005064;0.5015967200000001;0.00005064
37;0.08937300000000001;0.055074080000000025;0.04986480000000004;0.00005064;0.5015967200000001;0.00005064
38;0.09153620000000001;0.05573712000000003;0.051512800000000025;0.00005064;0.5015967200000001;0.00005064
39;0.0938658;0.05573712000000003;0.05332560000000003;0.00005064;0.5015967200000001;0.00005064
40;0.09619540000000001;0.05739472000000001;0.05530320000000005;0.00005064;0.5015967200000001;0.00005064
41;0.09819220000000001;0.05938384000000002;0.056786400000000015;0.00005064;0.5015967200000001;0.00005064
42;0.10085460000000002;0.0603784;0.05859920000000002;0.00005064;0.5015967200000001;0.00005064
43;0.10085460000000002;0.061704480000000006;0.060082400000000036;0.00005064;0.5015967200000001;0.00005064
44;0.10335060000000001;0.06336207999999999;0.06173040000000002;0.00005064;0.5015967200000001;0.00005064
45;0.10534740000000001;0.06435664000000002;0.06354320000000002;0.00005064;0.5008916800000001;0.00005064
46;0.10767700000000002;0.06568272000000003;0.06354320000000002;0.00005064;0.5008916800000001;0.00005064
47;0.11017300000000002;0.06717456;0.06502640000000004;0.00005064;0.5015967200000001;0.00005064
48;0.1123362;0.06850064;0.0665096;0.00005064;0.5015967200000001;0.00005064
49;0.11466580000000001;0.07015823999999998;0.06865200000000005;0.00005064;0.5015967200000001;0.00005064
50;0.1169954;0.07015823999999998;0.06997040000000002;0.00005064;0.5008916800000001;0.00005064
51;0.1191586;0.07131856000000003;0.07145360000000003;0.00005064;0.5015967200000001;0.00005064
52;0.12132180000000001;0.07264463999999998;0.07293680000000002;0.00005064;0.5015967200000001;0.00005064
53;0.1233186;0.07397071999999999;0.07458480000000003;0.00005064;0.5015967200000001;0.00005064
54;0.1233186;0.07595984;0.07606800000000002;0.00005064;0.5008916800000001;0.00005064
55;0.12614740000000002;0.0769544;0.07755120000000001;0.00005064;0.50230176;0.00005064
56;0.1279778;0.07861200000000002;0.07919920000000003;0.00005064;0.5015967200000001;0.00005064
57;0.13030740000000002;0.07993808;0.07919920000000003;0.00005064;0.5015967200000001;0.00005064
58;0.1323042;0.08126416;0.08084720000000004;0.00005064;0.5015967200000001;0.00005064
59;0.134301;0.08292176000000001;0.08216560000000003;0.00005064;0.5008916800000001;0.00005064
60;0.13629780000000002;0.08424784000000002;0.08381360000000002;0.00005064;0.5015967200000001;0.00005064
61;0.1389602;0.08590544;0.08513200000000004;0.00005064;0.5015967200000001;0.00005064
62;0.1411234;0.08590544;0.08645040000000004;0.00005064;0.5015967200000001;0.00005064
63;0.14295380000000002;0.08723152;0.08809840000000002;0.00005064;0.5015967200000001;0.00005064
64;0.14511700000000002;0.08872336;0.08925200000000003;0.00005064;0.5015967200000001;0.00005064
65;0.1472802;0.08988368;0.09106480000000003;0.00005064;0.5015967200000001;0.00005064
66;0.1472802;0.09120976;0.09221840000000003;0.00005064;0.5015967200000001;0.00005064
67;0.1491106;0.09220432;0.09419600000000003;0.00005064;0.5008916800000001;0.00005064
68;0.15144020000000002;0.09369616;0.09584400000000004;0.00005064;0.5015967200000001;0.00005064
69;0.15393620000000002;0.0943592;0.09584400000000004;0.00005064;0.5015967200000001;0.00005064
70;0.1554338;0.09585104;0.09716240000000004;0.00005064;0.5015967200000001;0.00005064
71;0.1577634;0.09667984000000002;0.09831600000000001;0.00005064;0.5015967200000001;0.00005064
72;0.1599266;0.09800592;0.09996400000000003;0.00005064;0.5015967200000001;0.00005064
73;0.1615906;0.09800592;0.10128240000000002;0.00005064;0.5015967200000001;0.00005064
74;0.1637538;0.09966352;0.10276560000000004;0.00005064;0.5015967200000001;0.00005064
75;0.165917;0.1001608;0.10391920000000002;0.00005064;0.5015967200000001;0.00005064
76;0.167581;0.10165264000000002;0.10523760000000001;0.00005064;0.5015967200000001;0.00005064
77;0.167581;0.10281296000000001;0.10672080000000003;0.00005064;0.5015967200000001;0.00005064
78;0.1697442;0.10397328;0.10820400000000002;0.00005064;0.5015967200000001;0.00005064
