time;v3;v4;v5
0.1;3000;376;40
0;3000;376;40
0.1;3008;376;40
0.2;3008;376;40
0.30000000000000004;3008;376;56
0.4;3008;376;56
0.5;3008;376;56
0.6;3008;376;56
0.7;3008;376;56
0.7999999999999999;3008;376;56
0.8999999999999999;3008;376;40
0.9999999999999999;3008;376;40
1.0999999999999999;3008;376;40
1.2;3008;376;56
1.3;3008;376;56
1.4000000000000001;3008;376;56
1.5000000000000002;3008;376;56
1.6000000000000003;3008;376;56
1.7000000000000004;3008;376;40
1.8000000000000005;3008;376;40
1.9000000000000006;3008;376;40
2.0000000000000004;3008;376;56
2.1000000000000005;3008;376;56
2.2000000000000006;3008;376;56
2.3000000000000007;3008;376;56
2.400000000000001;3000;376;56
2.500000000000001;3000;376;56
2.600000000000001;3000;376;40
2.700000000000001;3008;376;40
2.800000000000001;3008;376;40
2.9000000000000012;3008;376;56
3.0000000000000013;3008;376;56
3.1000000000000014;3008;376;56
3.2000000000000015;3008;376;40
3.3000000000000016;3008;376;40
3.4000000000000017;3000;376;40
3.5000000000000018;3000;376;56
3.600000000000002;3000;376;56
3.700000000000002;3008;376;56
3.800000000000002;3008;376;40
3.900000000000002;3008;376;40
4.000000000000002;3008;376;40
4.100000000000001;3008;376;40
4.200000000000001;3008;376;40
4.300000000000001;3008;376;40
4.4;3008;376;40
4.5;3008;376;40
4.6;3008;376;40
4.699999999999999;3008;376;40
4.799999999999999;3000;376;40
4.899999999999999;3000;376;40
4.999999999999998;3000;376;40
5.099999999999998;3008;376;40
5.1999999999999975;3008;376;56
5.299999999999997;3008;376;56
5.399999999999997;3008;376;56
5.4999999999999964;3008;376;40
5.599999999999996;3008;376;40
5.699999999999996;3008;376;40
5.799999999999995;3000;376;40
5.899999999999995;3000;376;40
5.999999999999995;3000;376;40
6.099999999999994;3008;376;40
6.199999999999994;3008;376;40
6.299999999999994;3008;376;40
6.399999999999993;3008;376;40
6.499999999999993;3008;376;40
6.5999999999999925;3008;376;40
6.699999999999992;3008;376;56
6.799999999999992;3008;376;56
6.8999999999999915;3008;376;56
6.999999999999991;3008;376;56
7.099999999999991;3008;376;56
7.19999999999999;3008;376;56
7.29999999999999;3008;376;56
7.39999999999999;3008;376;56
7.499999999999989;3008;376;56
7.599999999999989;3008;376;56
7.699999999999989;3008;376;56
7.799999999999988;3008;376;56
7.899999999999988;3008;376;56
7.999999999999988;3008;376;56
8.099999999999987;3008;376;56
8.199999999999987;3000;376;40
8.299999999999986;3000;376;40
8.399999999999986;3000;376;40
8.499999999999986;3008;376;56
8.599999999999985;3008;376;56
8.699999999999985;3008;376;56
8.799999999999985;3008;376;56
8.899999999999984;3008;376;56
8.999999999999984;3008;376;56
9.099999999999984;3008;376;56
9.199999999999983;3008;376;56
9.299999999999983;3008;376;56
9.399999999999983;3008;376;40
9.499999999999982;3008;376;40
9.599999999999982;3008;376;40
9.699999999999982;3008;376;40
9.799999999999981;3008;376;40
9.89999999999998;3008;376;40
9.99999999999998;3008;376;56
10.09999999999998;3008;376;56
10.19999999999998;3008;376;56
10.29999999999998;3008;376;40
10.399999999999979;3008;376;40
10.499999999999979;3008;376;40
10.599999999999978;3008;376;40
10.699999999999978;3008;376;40
10.799999999999978;3008;376;40
10.899999999999977;3008;376;40
10.999999999999977;3008;376;40
11.099999999999977;3008;376;40
11.199999999999976;3008;376;56
11.299999999999976;3008;376;56
11.399999999999975;3008;376;56
11.499999999999975;3008;376;40
11.599999999999975;3008;376;40
11.699999999999974;3000;376;40
11.799999999999974;3000;392;56
11.899999999999974;3008;392;56
11.999999999999973;3008;392;56
12.099999999999973;3008;376;40
12.199999999999973;3008;376;40
12.299999999999972;3008;376;40
12.399999999999972;3008;376;40
12.499999999999972;3000;376;40
12.599999999999971;3000;376;40
12.69999999999997;3000;376;56
12.79999999999997;3008;376;56
12.89999999999997;3008;376;56
12.99999999999997;3008;376;56
13.09999999999997;3112;376;56
13.199999999999969;3112;376;56
13.299999999999969;3480;376;56
13.399999999999968;3480;376;56
13.499999999999968;3480;376;56
13.599999999999968;3856;376;56
13.699999999999967;3856;376;56
13.799999999999967;3856;376;56
13.899999999999967;4232;376;56
13.999999999999966;4232;376;56
14.099999999999966;4504;376;56
14.199999999999966;4504;376;40
14.299999999999965;4504;376;40
14.399999999999965;4832;376;56
14.499999999999964;4832;376;56
14.599999999999964;4832;376;56
14.699999999999964;5144;376;56
14.799999999999963;5144;376;56
14.899999999999963;5144;376;56
14.999999999999963;5536;376;40
15.099999999999962;5536;376;40
15.199999999999962;5920;376;40
