time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1;u2
0;0.007504200000000016;0.003191200000000005;0.007016800000000045;0;0;0;0;0;0;0.00010128;0.00005064
0;0.007504200000000016;0.003191200000000005;0.007016800000000045;0;0;0;0;0;0;0.00010128;0.00005064
1;0.007337800000000005;0.003191200000000005;0.006852000000000025;0;0;0;0;0;0;0.00010128;0.00005064
2;0.008003399999999994;0.006009119999999979;0.006852000000000025;0.0007685676770608719;0.0008464499457359336;0.0003826974295601308;2.1254389486489704e-7;1.5604849586464344e-7;1.257820983241983e-7;0.00010128;0.00005064
3;0.0148258;0.004351519999999998;0.007840800000000037;0.0019749100908459105;0.0017163796546649608;0.0008023124414783113;4.2937375101978223e-7;2.034243525854018e-7;1.4918083858340446e-7;0.00010128;0.00005064
4;0.022147399999999984;0.008827040000000008;0.007840800000000037;0.0037044051053435295;0.0026102650218933435;0.0012636976423314706;7.888685922169116e-7;2.3610109362200882e-7;1.7036447830164428e-7;0.00010128;0.00005064
5;0.029635400000000034;0.010650400000000004;0.008829600000000049;0.006058835955516689;0.003529823893526139;0.0017713393852072804;0.0000012733900820704975;2.660858165102634e-7;1.892661036882791e-7;0.00010128;0.00005064
6;0.03629140000000003;0.01297103999999999;0.010148000000000046;0.009145945385768727;0.004483978965068453;0.0023395538797890644;0.0000018465862182340801;3.016628017762171e-7;2.0567796554342392e-7;0.00010128;0.00005064
7;0.042947400000000024;0.01496016;0.011301600000000023;0.013001491249354983;0.005456525281140261;0.0029715386438922877;0.000002461430540313636;3.432040405378393e-7;2.1923515888720238e-7;0.00010128;0.00005064
8;0.04910419999999999;0.01661775999999998;0.012949600000000006;0.01764236480088385;0.00646524293038479;0.003673976182948123;0.0000030576232747053367;3.887312281885415e-7;2.2954709821267043e-7;0.00010128;0.00005064
9;0.04910419999999999;0.01661775999999998;0.01492720000000003;0.02307641672820604;0.0075074165907158515;0.004458045735390977;0.0000035830030218119845;4.372487260844467e-7;2.365367763704657e-7;0.00010128;0.00005064
10;0.05592659999999999;0.018109600000000003;0.016245600000000027;0.028890280921467528;0.008574642127719039;0.005323101619773821;0.000004024609427740864;4.882909199856273e-7;2.4065971425914174e-7;0.00010128;0.00005064
11;0.061085;0.01993296;0.01822320000000005;0.03525543077528518;0.009668682139667454;0.006271156289302568;0.000004432953824678303;5.417230219767064e-7;2.429964762817903e-7;0.00010128;0.00005064
12;0.0679074;0.02159055999999998;0.020036000000000054;0.04204611742150932;0.010800576290530238;0.00731252294077307;0.000004861725159975399;5.975039002008175e-7;2.449231493248177e-7;0.00010128;0.00005064
13;0.0740642;0.022916639999999988;0.021848800000000057;0.049265098447202615;0.011970134690279419;0.00845056282819869;0.000005403005825603855;6.556244923745534e-7;2.481437630339734e-7;0.00010128;0.00005064
14;0.07972180000000001;0.024739999999999984;0.023826400000000025;0.05678439984923809;0.01316275520814872;0.00967475173973018;0.000006181534368703402;7.158889175952436e-7;2.546242847585108e-7;0.00010128;0.00005064
15;0.0850466;0.02606607999999999;0.023826400000000025;0.06446208655543646;0.014384791777023493;0.01099579272654931;0.00000730923301485347;7.781371742967408e-7;2.663012497642055e-7;0.00010128;0.00005064
16;0.0913698;0.02772368000000003;0.02563920000000003;0.0722697640739655;0.015634493318160147;0.012400711753350743;0.000008727295127275982;8.424174954055444e-7;2.85014517025868e-7;0.00010128;0.00005064
17;0.096861;0.02938128000000001;0.027616800000000052;0.08023397328441674;0.01691329474821744;0.013891428081091587;0.000010385022337089687;9.091303617893131e-7;3.122903496445181e-7;0.00010128;0.00005064
18;0.102685;0.030873119999999976;0.02959440000000002;0.08802481110582674;0.018220377171409775;0.015466097681184211;0.000012361921911408154;9.78737205146615e-7;3.4973471741046836e-7;0.00010128;0.00005064
19;0.10751060000000001;0.03236496;0.03173680000000001;0.09570065897044472;0.019541200851031837;0.01711725022992272;0.000014299287315524674;0.0000010513463381971196;3.9765422620376573e-7;0.00010128;0.00005064
20;0.10751060000000001;0.03236496;0.03371440000000003;0.10291937875698687;0.020884455257753346;0.018838045138665743;0.0000163208455386613;0.000001127720430207676;4.562641609736486e-7;0.00010128;0.00005064
21;0.1136674;0.03402255999999998;0.03635120000000003;0.10865707412779001;0.022243427312523698;0.020621160375274408;0.000017934743471634475;0.0000012071273112571045;5.237839827270384e-7;0.00010128;0.00005064
