time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1
0;0.002012999999999987;0.001699359999999983;0.003061600000000053;0;0;0;0;0;0;0.00010128
0;0.002012999999999987;0.001699359999999983;0.003061600000000053;0;0;0;0;0;0;0.00010128
1;0.002345800000000009;0.001699359999999983;0.003061600000000053;0;0;0;0;0;0;0.00010128
2;0.004009800000000008;0.001699359999999983;0.0033912000000000386;0.0006574898792777971;2.017829591498048e-7;0.00021822501906437178;4.532901188524273e-7;1.1394928019700607e-7;1.0735656988186381e-7;0.00010128
3;0.01299539999999999;0.001699359999999983;0.003720800000000024;0.0013956043857365633;0.000002360986230550675;0.0004380797548789921;0.000001062357170386528;6.575317666599469e-8;1.1310077310353224e-7;0.00010128
4;0.019152200000000008;0.0021966400000000275;0.003720800000000024;0.002380804876065011;0.000008312539010202656;0.0006619978223450773;0.0000016633723393559651;5.9000687822534415e-8;1.1776509809349222e-7;0.00010128
5;0.026473799999999992;0.0023623999999999867;0.0050392000000000214;0.0037052489394062277;0.000021523110676484962;0.0008962301577953944;0.000002371116881960226;6.803567087946794e-8;1.201640437117098e-7;0.00010128
6;0.03229779999999999;0.0023623999999999867;0.005698400000000048;0.005575422975302972;0.00003891869194900824;0.0011444624861429204;0.00000325058243456798;8.076834381572744e-8;1.1994837710632958e-7;0.00010128
7;0.038621000000000016;0.0026939200000000163;0.006687200000000004;0.00809188821997927;0.0000632293426256321;0.0014107718998696609;0.000004321286775478739;9.435676883780323e-8;1.1785055413575638e-7;0.00010128
8;0.04544340000000002;0.0026939200000000163;0.007346400000000031;0.011562793812830452;0.0001041336706595742;0.0017093947937023449;0.0000055292107753449035;1.0739586008345188e-7;1.1514688469396935e-7;0.00010128
9;0.04544340000000002;0.0030254399999999904;0.008664800000000028;0.016168300142910614;0.00015584468852856894;0.0020538152583306555;0.000006799375399242296;1.19315904600556e-7;1.1283742404483885e-7;0.00010128
10;0.051766599999999996;0.0030254399999999904;0.009324000000000054;0.021244125937098034;0.00022388302779453905;0.0024500520584967932;0.000008068576866515193;1.3030566874067887e-7;1.1126394930716841e-7;0.00010128
11;0.057923400000000014;0.0030254399999999904;0.010642400000000052;0.027264865963213862;0.0003095454497419664;0.002910508211889879;0.000009222702668977414;1.412299801752954e-7;1.1035565124316048e-7;0.00010128
12;0.06391380000000002;0.003191200000000005;0.011631200000000008;0.0341308497047338;0.00042245336445442046;0.003438932162388598;0.000010108446041184647;1.5298252007496222e-7;1.0979231026186548e-7;0.00010128
13;0.0699042;0.003191200000000005;0.01262000000000002;0.041448324741592366;0.0005628147095177229;0.00405644680783733;0.000010713477040931919;1.6629482533302876e-7;1.0915701108233342e-7;0.00010128
14;0.0757282;0.00335696000000002;0.013773600000000052;0.04905641461311694;0.0007251207593822847;0.004762011678575426;0.00001100908223592886;1.8128034959476236e-7;1.0848230070635122e-7;0.00010128
15;0.08138580000000001;0.003688479999999994;0.013773600000000052;0.05681172128988137;0.000905216514749259;0.00555119445796215;0.000010962505063744714;1.9756632950040548e-7;1.0774962411096727e-7;0.00010128
16;0.08704340000000002;0.00335696000000002;0.01509200000000005;0.06431342655327171;0.0010861914797063242;0.006427298916542083;0.00001074471572877864;2.1473053107138247e-7;1.0695677756484569e-7;0.00010128
17;0.092701;0.003688479999999994;0.016080800000000006;0.07164949619600178;0.001267181113539547;0.007380704930995773;0.000010397353379802056;2.3219017856496423e-7;1.0633552140268059e-7;0.00010128
18;0.09819220000000001;0.0038542400000000088;0.017564000000000024;0.07872974515020692;0.001441542921823061;0.008407247002535638;0.00000997985854769115;2.4978705715762916e-7;1.0593319349276388e-7;0.00010128
19;0.103517;0.0038542400000000088;0.018552800000000036;0.08548041126188226;0.0015973431498925367;0.009500740381575206;0.000009613986681834077;2.673970690652878e-7;1.0581283617652464e-7;0.00010128
20;0.103517;0.0040200000000000236;0.019706400000000013;0.09188964215965333;0.001728701974815901;0.010651606197551096;0.000009330801835040446;2.8487733914041226e-7;1.0599361218926857e-7;0.00010128
21;0.1090082;0.0038542400000000088;0.02118960000000003;0.09751891432309819;0.0018406152557089604;0.011850718871607886;0.000009097783828503012;3.022638676522698e-7;1.0637063841386954e-7;0.00010128
22;0.11433300000000002;0.004185759999999983;0.022508000000000028;0.10305374374177549;0.001929013669144111;0.013086365128091967;0.000008881147491945905;3.1963111675738307e-7;1.0674169631313426e-7;0.00010128
23;0.1194914;0.004185759999999983;0.023826400000000025;0.10849015207650747;0.0019957699636188628;0.014356407703252616;0.000008709842455196328;3.370287103389783e-7;1.0704407461378666e-7;0.00010128
24;0.1249826;0.0040200000000000236;0.024980000000000002;0.11382804225322046;0.002043311812732738;0.015656228486592774;0.000008594750727414491;3.5473212248856296e-7;1.0729681217009764e-7;0.00010128
25;0.1298082;0.0040200000000000236;0.02646320000000002;0.11911775942886178;0.0020754885370322944;0.01698319705029481;0.000008555171755692216;3.730175869366608e-7;1.0743081126862407e-7;0.00010128
26;0.1348002;0.004185759999999983;0.02646320000000002;0.12433054088180878;0.002094946244231169;0.018333698871001794;0.000008560698750749435;3.921981082054191e-7;1.0746949054117362e-7;0.00010128
27;0.13995860000000002;0.004185759999999983;0.027781600000000017;0.1294925961012834;0.0021050998543495174;0.019707337653186656;0.000008621067906904993;4.1254267827690866e-7;1.073672769913939e-7;0.00010128
28;0.14511700000000002;0.004351519999999998;0.02959440000000002;0.1346114496876721;0.002109906259564642;0.021102718787885555;0.00000873752662888287;4.3431271258111534e-7;1.072291557719315e-7;0.00010128
29;0.15010900000000002;0.004351519999999998;0.03107760000000004;0.13977954168039036;0.0021207617614905803;0.02251568045820465;0.000008742641736464428;4.577311999025062e-7;1.0715108840133707e-7;0.00010128
30;0.1549346;0.004351519999999998;0.03206640000000005;0.1449036398488905;0.0021359894586445325;0.023946733406461564;0.00000883674189160542;4.834200330041629e-7;1.0704064829542824e-7;0.00010128
31;0.1549346;0.004683040000000027;0.03354960000000001;0.14998481473726769;0.002161573166068106;0.025394688572925747;0.000008891205808982422;5.114726998331949e-7;1.0703909484735877e-7;0.00010128
32;0.1599266;0.004683040000000027;0.03503280000000003;0.15448626086538575;0.0022000700109938726;0.026857855471855704;0.00000898571081956758;5.421589471389434e-7;1.0716693560983794e-7;0.00010128
33;0.16475220000000002;0.0048487999999999865;0.03651600000000005;0.15899313487593822;0.002255872771201397;0.028328101253480543;0.000009087586027149951;5.750995246048178e-7;1.0746115530588695e-7;0.00010128
34;0.1695778;0.005346079999999975;0.03799920000000001;0.16347082424520196;0.0023312800759876648;0.029805459222105597;0.000009174557828488429;6.106486805657277e-7;1.0785446326524909e-7;0.00010128
35;0.174237;0.005677600000000005;0.03898800000000002;0.1679336226418588;0.0024278313132729437;0.03128919296631343;0.000009266961854164539;6.488009702866638e-7;1.084334197515311e-7;0.00010128
36;0.1788962;0.00584336000000002;0.040636000000000005;0.17233551285759285;0.002545620237939605;0.03277851652545831;0.000009357145279761881;6.893589134269832e-7;1.0918930890712212e-7;0.00010128
37;0.1835554;0.006009119999999979;0.040636000000000005;0.17667951003686017;0.0026853950322954165;0.034273302413851785;0.000009509559456390694;7.317618831930734e-7;1.1006450970572746e-7;0.00010128
