time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1
0;0.004508999999999985;0.0028596799999999756;0.0050392000000000214;0;0;0;0;0;0;0.00010128
0;0.004508999999999985;0.0028596799999999756;0.0050392000000000214;0;0;0;0;0;0;0.00010128
1;0.004508999999999985;0.0028596799999999756;0.0048744000000000565;0;0;0;0;0;0;0.00010128
2;0.004508999999999985;0.0026939200000000163;0.0048744000000000565;0.0006710344727928313;0.0000013011107830842581;0.00021782627775072106;4.5350848353740195e-7;1.1397643687826348e-7;1.0735568194981402e-7;0.00010128
3;0.012329800000000002;0.0026939200000000163;0.0050392000000000214;0.0014158758294093557;0.0000037308170641017354;0.00043838922848334045;0.0000010643389634562794;6.569998309573183e-8;1.1310386473963506e-7;0.00010128
4;0.0173218;0.0028596799999999756;0.005863200000000013;0.002390008311355961;0.000009726190261644965;0.0006648466752946329;0.0000016655703839699574;5.899760865148056e-8;1.1775005850739749e-7;0.00010128
5;0.025309000000000026;0.0028596799999999756;0.006687200000000004;0.003661675405644764;0.000021122247801568692;0.0008970364981796042;0.0000023756424063482115;6.807142017236491e-8;1.2014223388357531e-7;0.00010128
6;0.03196500000000002;0.0028596799999999756;0.007840800000000037;0.005497618374853104;0.00003947256947531316;0.0011429541645469226;0.0000032522644503927283;8.082834589668931e-8;1.199189342760056e-7;0.00010128
7;0.038454600000000005;0.0030254399999999904;0.008829600000000049;0.008014081735297775;0.00006840536803552794;0.0014060790249572721;0.000004319404330258928;9.444270797413775e-8;1.1782478152417196e-7;0.00010128
8;0.04494419999999999;0.0030254399999999904;0.008829600000000049;0.011533572120771976;0.00010599277298532886;0.001704042526652652;0.000005507286577058111;1.0751868351927633e-7;1.1512478572902038e-7;0.00010128
9;0.05026900000000001;0.003191200000000005;0.009324000000000054;0.016093196599228234;0.00015797650925844972;0.00204074336466449;0.000006782995776067671;1.1931738211621807e-7;1.1284305389902008e-7;0.00010128
10;0.057091400000000014;0.003191200000000005;0.010148000000000046;0.021686330440253615;0.00023107577986788066;0.002434181133551212;0.0000080184068579802;1.3020417554943456e-7;1.1126617707298128e-7;0.00010128
11;0.06291540000000001;0.003191200000000005;0.011301600000000023;0.02819150827015336;0.0003175174001064935;0.002901964439681232;0.000009178365074551836;1.4120361187675628e-7;1.1023580956484422e-7;0.00010128
12;0.06890580000000002;0.003191200000000005;0.012290400000000035;0.03543309207360848;0.0004304976310305631;0.0034482796279614045;0.000010116648675057497;1.5322848545877728e-7;1.095314192433783e-7;0.00010128
13;0.06890580000000002;0.003688479999999994;0.013114400000000026;0.04341787875172631;0.0005655461841999086;0.004089893917116064;0.00001063332735204536;1.6702600727468413e-7;1.0882916115977023e-7;0.00010128
14;0.07472980000000001;0.003688479999999994;0.014597600000000044;0.05072570601820028;0.0007291567922484791;0.004819696511016948;0.000010911017703366228;1.8258668360257305e-7;1.0808324940181392e-7;0.00010128
15;0.08072020000000002;0.0038542400000000088;0.01575120000000002;0.05807088070586091;0.0009088487466405414;0.005633515051663725;0.000010920062895087432;1.9951838318471386e-7;1.0730105416320764e-7;0.00010128
16;0.0863778;0.0038542400000000088;0.016740000000000033;0.0653549026618778;0.001090974754833807;0.006525821371911668;0.000010735301783038808;2.1716199740431883e-7;1.0661323792752894e-7;0.00010128
17;0.091869;0.0040200000000000236;0.01805840000000003;0.07244783353816925;0.001273188394516403;0.007493837595858798;0.000010411532498559621;2.3498249375107176e-7;1.0606946526572648e-7;0.00010128
18;0.09736020000000001;0.0038542400000000088;0.019541600000000048;0.07923756818034473;0.001445739451083319;0.008527407518674025;0.000010072909082678445;2.528312817669766e-7;1.0577395376780362e-7;0.00010128
19;0.1031842;0.0040200000000000236;0.019541600000000048;0.08584608377383961;0.0016023779629341457;0.009625099709563226;0.000009677157920949457;2.705205500509656e-7;1.0567415326355141e-7;0.00010128
20;0.10834260000000001;0.0040200000000000236;0.020530400000000004;0.09223598021222854;0.0017352677898398716;0.010775151165704898;0.000009312419795202069;2.8802439202196447e-7;1.0585427623544206e-7;0.00010128
21;0.11400020000000002;0.004185759999999983;0.021684000000000037;0.09836003903136686;0.0018443501206144293;0.011975555603216653;0.000009041652887819934;3.05392164033415e-7;1.0614160792451444e-7;0.00010128
