x1;x2;x3;dx1;dx2;dx3;y1;y2;y3
0.254918597460519;0.0129460440289761;0.0700742438483309;0.00344030932239575;0.000414213159740356;0.00148356134101607;0.254918597460519;0.0129460440289761;0.0700742438483309
0.258414395642954;0.0132774145567684;0.0713929650403452;0.00321835388224119;0.000414213159740356;0.00140114126651517;0.258414395642954;0.0132774145567684;0.0713929650403452
0.261577260665156;0.0137744703484569;0.0728765263813613;0.00360677590251168;0.000331370527792307;0.0012363011175134;0.261577260665156;0.0137744703484569;0.0728765263813613
0.264573659107243;0.013940155612353;0.073865567275372;0.00355128704247302;0.000248527895844231;0.0012363011175134;0.264573659107243;0.013940155612353;0.073865567275372
0.269234723350489;0.0142715261401453;0.0753491286163881;0.00382873134266624;0.000248527895844203;0.00173082156451874;0.269234723350489;0.0142715261401453;0.0753491286163881
0.272231121792575;0.0144372114040414;0.0773272104044095;0.00355128704247302;0.000497055791688433;0.00140114126651518;0.272231121792575;0.0144372114040414;0.0773272104044095
0.276059853135242;0.0152656377235222;0.0781514111494184;0.00332933160231846;0.000662741055584587;0.0012363011175134;0.276059853135242;0.0152656377235222;0.0781514111494184
0.279888584477908;0.0157626935152106;0.0797998126394363;0.00344030932239575;0.00033137052779228;0.00148356134101607;0.279888584477908;0.0157626935152106;0.0797998126394363
0.282219116599531;0.0159283787791067;0.0811185338314506;0.00310737616216391;0.000165685263896154;0.00131872119201429;0.282219116599531;0.0159283787791067;0.0811185338314506
0.286380781102429;0.0160940640430029;0.0824372550234649;0.00360677590251168;0.000414213159740356;0.00140114126651518;0.286380781102429;0.0160940640430029;0.0824372550234649
0.289210712964399;0.0167568050985875;0.0839208163644809;0.00321835388224118;0.00057989842363651;0.00131872119201429;0.289210712964399;0.0167568050985875;0.0839208163644809
0.293039444307066;0.0172538608902759;0.0850746974074934;0.00327384274227982;0.000497055791688433;0.0010714609685116;0.293039444307066;0.0172538608902759;0.0850746974074934
0.296035842749152;0.0177509166819643;0.0860637383015041;0.00321835388224118;0.000414213159740356;0.00148356134101607;0.296035842749152;0.0177509166819643;0.0860637383015041
0.299032241191239;0.0180822872097566;0.0880418200895256;0.00327384274227982;0.000331370527792307;0.00140114126651518;0.299032241191239;0.0180822872097566;0.0880418200895256
0.302694505953789;0.0184136577375489;0.0888660208345345;0.0034957981824344;0.000497055791688433;0.00131872119201427;0.302694505953789;0.0184136577375489;0.0888660208345345
0.305857370975992;0.0190763987931335;0.0906792624735541;0.00313512059218322;0.000414213159740356;0.00156598141551696;0.305857370975992;0.0190763987931335;0.0906792624735541
0.309519635738542;0.0192420840570297;0.0919979836655684;0.00307963173214459;0.000414213159740356;0.00164840149001787;0.309519635738542;0.0192420840570297;0.0919979836655684
0.312099867730339;0.0199048251126142;0.0939760654535899;0.00313512059218322;0.000497055791688433;0.00148356134101607;0.312099867730339;0.0199048251126142;0.0939760654535899
0.315096266172426;0.0202361956404065;0.0949651063476006;0.00327384274227984;0.000414213159740384;0.00131872119201427;0.315096266172426;0.0202361956404065;0.0949651063476006
0.318924997515092;0.020733251432095;0.0966135078376184;0.00349579818243438;0.000497055791688433;0.00148356134101607;0.318924997515092;0.020733251432095;0.0966135078376184
0.321921395957178;0.0212303072237834;0.0979322290296327;0.00316286502220255;0.000414213159740356;0.00148356134101607;0.321921395957178;0.0212303072237834;0.0979322290296327
0.325583660719729;0.0215616777515757;0.0995806305196505;0.00321835388224118;0.000745583687532664;0.00148356134101607;0.325583660719729;0.0215616777515757;0.0995806305196505
0.328413592581699;0.0227214745988487;0.100899351711665;0.00327384274227984;0.00057989842363651;0.00115388104301251;0.328413592581699;0.0227214745988487;0.100899351711665
0.331576457603902;0.0227214745988487;0.101888392605676;0.00327384274227982;0.000165685263896154;0.00131872119201429;0.331576457603902;0.0227214745988487;0.101888392605676
0.335405188946568;0.023052845126641;0.103536794095693;0.00299639844208662;0.000497055791688433;0.00148356134101607;0.335405188946568;0.023052845126641;0.103536794095693
0.338235120808539;0.0237155861822256;0.104855515287708;0.00305188730212526;0.000497055791688433;0.0012363011175134;0.338235120808539;0.0237155861822256;0.104855515287708
0.340565652930162;0.0240469567100179;0.10600939633072;0.00299639844208662;0.000497055791688433;0.00131872119201429;0.340565652930162;0.0240469567100179;0.10600939633072
0.344560850852944;0.0247096977656024;0.107492957671736;0.00327384274227984;0.000497055791688433;0.00131872119201429;0.344560850852944;0.0247096977656024;0.107492957671736
0.347224316134799;0.0250410682933948;0.108646838714749;0.00255248756177749;0.000497055791688433;0.0012363011175134;0.347224316134799;0.0250410682933948;0.108646838714749
0.350387181157001;0.0257038093489793;0.109965559906763;0.00260797642181615;0.000414213159740356;0.00115388104301249;0.350387181157001;0.0257038093489793;0.109965559906763
0.352218313538276;0.0258694946128755;0.110954600800774;0.00260797642181613;0.000248527895844231;0.00156598141551696;0.352218313538276;0.0258694946128755;0.110954600800774
0.355048245400247;0.0262008651406678;0.113097522737797;0.00305188730212526;0.000414213159740356;0.00140114126651518;0.355048245400247;0.0262008651406678;0.113097522737797
0.35821111042245;0.0266979209323562;0.113756883333804;0.00332933160231846;0.000414213159740356;0.00140114126651518;0.35821111042245;0.0266979209323562;0.113756883333804
0.361373975444652;0.0270292914601485;0.115899805270827;0.00321835388224118;0.000497055791688461;0.00156598141551696;0.361373975444652;0.0270292914601485;0.115899805270827
0.365036240207203;0.0276920325157331;0.116888846164838;0.00294090958204798;0.00057989842363651;0.000989040894010709;0.365036240207203;0.0276920325157331;0.116888846164838
0.367866172069173;0.0281890883074215;0.117877887058849;0.00305188730212526;0.000414213159740356;0.00148356134101607;0.367866172069173;0.0281890883074215;0.117877887058849
0.370196704190796;0.0285204588352138;0.11985596884687;0.00299639844208662;0.00033137052779228;0.00148356134101607;0.370196704190796;0.0285204588352138;0.11985596884687
0.374191902113578;0.0288518293630061;0.120845009740881;0.00305188730212526;0.00033137052779228;0.0012363011175134;0.374191902113578;0.0288518293630061;0.120845009740881
0.376855367395433;0.0291831998907984;0.122328571081897;0.00288542072200933;0.000414213159740384;0.00148356134101607;0.376855367395433;0.0291831998907984;0.122328571081897
0.379352366097172;0.0296802556824868;0.123812132422913;0.00294090958204798;0.000331370527792307;0.00148356134101607;0.379352366097172;0.0296802556824868;0.123812132422913
