x1;x2;x3;dx1;dx2;dx3;y1;y2;y3;u1
0.388190658890289;0.0575012655840886;0.248634621827396;-0.00260489272026461;-0.000209323911079945;-0.000479540182134735;0.388190658890289;0.0575012655840886;0.248634621827396;0
0.381026355359188;0.0570169197779629;0.247010518472183;-0.00249124603487873;-0.000197639748583912;-0.000547309867715854;0.381026355359188;0.0570169197779629;0.247010518472183;0
0.373777039866794;0.0563958428348196;0.245396969617064;-0.0025133704306074;-0.000206471900649759;-0.000616547167177918;0.373777039866794;0.0563958428348196;0.245396969617064;0
0.365756690553579;0.0557044217288627;0.243482600789473;-0.00245684113292895;-0.00020158360680648;-0.000692211705502058;0.365756690553579;0.0557044217288627;0.243482600789473;0
0.358451583832328;0.0551818543342977;0.241197198768279;-0.00231703784443981;-0.000204628763164744;-0.000719146581000121;0.358451583832328;0.0551818543342977;0.241197198768279;0
0.352139880932335;0.0545720059212196;0.239003584069505;-0.00229699533504801;-0.000232827829141199;-0.000713428773464839;0.352139880932335;0.0545720059212196;0.239003584069505;0
0.345048140275388;0.0538377797983215;0.237061733535602;-0.00232758897391735;-0.000258968589626433;-0.000757323085746389;0.345048140275388;0.0538377797983215;0.237061733535602;0
0.337693966487751;0.0529447689584129;0.234686396908133;-0.00222983109885034;-0.00025204834241715;-0.000829652721490125;0.337693966487751;0.0529447689584129;0.234686396908133;0
0.331332788298983;0.0522470076743741;0.231976298959938;-0.00211545125494594;-0.000232748481909517;-0.000849520872582196;0.331332788298983;0.0522470076743741;0.231976298959938;0
0.325430185961682;0.0516019622103503;0.229455300122847;-0.0021386261981276;-0.000235069114552158;-0.000844414960295192;0.325430185961682;0.0516019622103503;0.229455300122847;0
0.318673190683006;0.0508995845120111;0.227094530605979;-0.00214229713328268;-0.000254218573716209;-0.000887651624145212;0.318673190683006;0.0508995845120111;0.227094530605979;0
0.311938461767199;0.0500702720515185;0.224261158584694;-0.00201486269155317;-0.000265527194668027;-0.000939517678287011;0.311938461767199;0.0500702720515185;0.224261158584694;0
0.306547562539989;0.0492831362834873;0.221337391112179;-0.00195129222451598;-0.000270083977090842;-0.000953311507009709;0.306547562539989;0.0492831362834873;0.221337391112179;0
