time;y1;y2;y3;u1;u2;x1;x2;x3
0;0.0035106000000000304;0.001367840000000009;0.0007544000000000439;0.00010128;0;0;0;0
1;0.004009800000000008;0.001367840000000009;0.0007544000000000439;0.00010128;0;0;0;0
2;0.004009800000000008;0.001367840000000009;0.0007544000000000439;0.00010128;0;0.004468723632767174;0.00008890902954920687;0.0005381384027167835
3;0.009500999999999982;0.001699359999999983;0.0010840000000000294;0.00010128;0;0.009037999390726317;0.00018737178821054537;0.0011078029650443254
4;0.01782100000000003;0.001699359999999983;0.0017432000000000558;0.00010128;0;0.013724166177333474;0.00029517720468168256;0.0017100260208775119
5;0.024477000000000027;0.001699359999999983;0.0024024000000000267;0.00010128;0;0.01855272075068354;0.0004103079857218389;0.0023449078724993105
6;0.030467400000000033;0.001699359999999983;0.0033912000000000386;0.00010128;0;0.02350514521311136;0.0005320174427156621;0.003013228267161034
7;0.03712340000000003;0.001699359999999983;0.004709600000000036;0.00010128;0;0.028565077338378427;0.0006581986584542179;0.003715549352423527
8;0.0434466;0.001699359999999983;0.005368800000000007;0.00010128;0;0.033733778356950815;0.000787962589343879;0.004452862048717369
9;0.04943700000000001;0.0020308800000000127;0.006192800000000054;0.00010128;0;0.03899633747836619;0.0009182838715251451;0.005223944561703593
10;0.05592659999999999;0.0021966400000000275;0.007016800000000045;0.00010128;0;0.04433552500991251;0.0010482335766324805;0.006030204557584076
11;0.061917;0.0021966400000000275;0.008335200000000043;0.00010128;0;0.049748505810094226;0.0011746126742489494;0.006869319536362888
12;0.0679074;0.0023623999999999867;0.008335200000000043;0.00010128;0;0.0552147408615672;0.0012944721725853452;0.007744040898872646
13;0.0679074;0.0026939200000000163;0.009159200000000034;0.00010128;0;0.060719107517028616;0.0014082615831184702;0.008652437201457032
14;0.07389780000000001;0.0026939200000000163;0.010642400000000052;0.00010128;0;0.06609057563860701;0.0015147494704679473;0.009593903856822893
15;0.07988820000000002;0.0026939200000000163;0.01196080000000005;0.00010128;0;0.07146637400854067;0.0016129020954597174;0.010566736270224317
16;0.0847138;0.0028596799999999756;0.01262000000000002;0.00010128;0;0.0768365914520199;0.0017021748926708106;0.011571084135752847
17;0.09070420000000001;0.0028596799999999756;0.013773600000000052;0.00010128;0;0.08216409512319106;0.0017826974654771997;0.012605430402901737
18;0.0963618;0.0028596799999999756;0.01509200000000005;0.00010128;0;0.08747243460908605;0.0018560419881219292;0.013668517892669896
19;0.101853;0.0030254399999999904;0.016575200000000012;0.00010128;0;0.09273743065803984;0.0019245009443277774;0.014760333848553166
20;0.1070114;0.003191200000000005;0.01789360000000001;0.00010128;0;0.09796375669350976;0.001988708776903271;0.015879270823781072
21;0.1123362;0.003191200000000005;0.019212000000000007;0.00010128;0;0.10313174075071194;0.0020530887783046813;0.017023942901285467
22;0.11716180000000001;0.003191200000000005;0.020530400000000004;0.00010128;0;0.10824169018440577;0.00211810013615814;0.01819402888829186
23;0.12281940000000002;0.003191200000000005;0.020530400000000004;0.00010128;0;0.11328155170951823;0.002188359352284658;0.019388468300401442
24;0.12281940000000002;0.003191200000000005;0.022013600000000022;0.00010128;0;0.1182676014303781;0.00226589325465578;0.020602756732546492
25;0.1279778;0.003191200000000005;0.023167200000000054;0.00010128;0;0.12304615731256886;0.002351509361105325;0.021837898948676968
26;0.13280340000000002;0.003191200000000005;0.024815200000000037;0.00010128;0;0.12777467791680944;0.0024476821807496467;0.023091355016349475
27;0.13829460000000002;0.00335696000000002;0.025968800000000014;0.00010128;0;0.1324441829517399;0.0025557023003863494;0.024362368556789575
28;0.14295380000000002;0.003688479999999994;0.027616800000000052;0.00010128;0;0.13708186782663276;0.002676816553026434;0.025649758679556916
29;0.14794580000000002;0.003688479999999994;0.02877040000000003;0.00010128;0;0.1416663977615208;0.0028113926871661454;0.026952568413452192
30;0.15343700000000002;0.0038542400000000088;0.030583200000000033;0.00010128;0;0.14620512771567823;0.0029597825499772363;0.0282699204665097
31;0.1579298;0.0038542400000000088;0.03190160000000003;0.00010128;0;0.15072505003435355;0.0031229624728316687;0.02960178526507935
32;0.1629218;0.0038542400000000088;0.03371440000000003;0.00010128;0;0.15519792159170936;0.0032997897249434564;0.030946367376355557
33;0.167581;0.004185759999999983;0.03503280000000003;0.00010128;0;0.15964166330309035;0.0034919943233940255;0.032301917959286365
34;0.17240660000000002;0.004351519999999998;0.03503280000000003;0.00010128;0;0.1640481295788953;0.00369922055904377;0.033670102195163934
35;0.17240660000000002;0.004683040000000027;0.03668080000000001;0.00010128;0;0.16842932315636633;0.003921810218932818;0.03504699451493873
36;0.1772322;0.005180320000000016;0.037669600000000025;0.00010128;0;0.17265300145472942;0.004158654090262147;0.036433600397229336
37;0.1813922;0.005346079999999975;0.03964720000000005;0.00010128;0;0.1768623503344888;0.004409298618316195;0.037827919773097775
38;0.1857186;0.00584336000000002;0.040800800000000026;0.00010128;0;0.18104071133610763;0.0046719693290745365;0.03923045537329381
39;0.1903778;0.00584336000000002;0.04261360000000003;0.00010128;0;0.18519742762076902;0.004945760220406453;0.04063969659221801
40;0.19520340000000003;0.00584336000000002;0.04393200000000003;0.00010128;0;0.18934407059928557;0.0052284358310635244;0.04205584024708956
41;0.1995298;0.006174879999999994;0.04574480000000003;0.00010128;0;0.1934896185190684;0.005518018909810025;0.043478177200431636
42;0.20385620000000002;0.0063406400000000085;0.04739280000000001;0.00010128;0;0.197620461212973;0.0058128516192842775;0.044906654479697515
43;0.20851540000000002;0.0066721599999999825;0.049205600000000016;0.00010128;0;0.20173932687100524;0.006112064751697538;0.046341289581527806
