time;y1;y2;y3;u1;u2
0;0.0013473999999999986;0.0007048000000000054;-0.0007287999999999739;0.00010128;0
1;0.0015138000000000096;0.0007048000000000054;-0.0005639999999999534;0.00010128;0
2;0.006006600000000029;0.0007048000000000054;-0.0005639999999999534;0.00010128;0
3;0.006006600000000029;0.0007048000000000054;-0.00006959999999994748;0.00010128;0
4;0.013660999999999979;0.0008705600000000202;0.0009192000000000089;0.00010128;0
5;0.02031700000000003;0.0012020799999999943;0.0019080000000000208;0.00010128;0
6;0.027638600000000013;0.0012020799999999943;0.0019080000000000208;0.00010128;0
7;0.03346260000000001;0.001367840000000009;0.002732000000000012;0.00010128;0
8;0.040451400000000026;0.0020308800000000127;0.003720800000000024;0.00010128;0
9;0.04694100000000001;0.0020308800000000127;0.0050392000000000214;0.00010128;0
10;0.053264199999999984;0.0020308800000000127;0.005863200000000013;0.00010128;0
11;0.05925459999999999;0.0021966400000000275;0.006852000000000025;0.00010128;0
12;0.06507860000000001;0.0021966400000000275;0.008005600000000057;0.00010128;0
13;0.0712354;0.0021966400000000275;0.008994400000000013;0.00010128;0
14;0.0712354;0.0023623999999999867;0.010148000000000046;0.00010128;0
15;0.0767266;0.0023623999999999867;0.011301600000000023;0.00010128;0
16;0.08238420000000002;0.0028596799999999756;0.01262000000000002;0.00010128;0
17;0.0883746;0.0028596799999999756;0.01262000000000002;0.00010128;0
18;0.09369940000000002;0.0028596799999999756;0.014103200000000038;0.00010128;0
19;0.099357;0.0028596799999999756;0.015256800000000015;0.00010128;0
20;0.10418260000000001;0.0030254399999999904;0.016575200000000012;0.00010128;0
21;0.10934100000000002;0.0030254399999999904;0.017728800000000045;0.00010128;0
22;0.11516500000000002;0.0030254399999999904;0.019212000000000007;0.00010128;0
23;0.11965780000000001;0.003191200000000005;0.02020080000000002;0.00010128;0
24;0.125149;0.003191200000000005;0.022013600000000022;0.00010128;0
25;0.13030740000000002;0.003191200000000005;0.023826400000000025;0.00010128;0
26;0.13030740000000002;0.00335696000000002;0.024815200000000037;0.00010128;0
27;0.13529940000000001;0.00335696000000002;0.026133600000000035;0.00010128;0
28;0.13995860000000002;0.00335696000000002;0.026133600000000035;0.00010128;0
29;0.14511700000000002;0.003688479999999994;0.027781600000000017;0.00010128;0
30;0.15010900000000002;0.003688479999999994;0.029100000000000015;0.00010128;0
31;0.1549346;0.004185759999999983;0.030418400000000012;0.00010128;0
32;0.160093;0.004185759999999983;0.032396000000000036;0.00010128;0
33;0.16475220000000002;0.0040200000000000236;0.03354960000000001;0.00010128;0
34;0.1697442;0.004185759999999983;0.03503280000000003;0.00010128;0
35;0.17440340000000001;0.004351519999999998;0.03651600000000005;0.00010128;0
36;0.17440340000000001;0.004683040000000027;0.037834400000000046;0.00010128;0
37;0.179229;0.005180320000000016;0.03964720000000005;0.00010128;0
38;0.18338900000000002;0.005180320000000016;0.04146000000000005;0.00010128;0
39;0.18854740000000003;0.005346079999999975;0.04146000000000005;0.00010128;0
40;0.19270740000000003;0.006009119999999979;0.04277840000000005;0.00010128;0
41;0.1973666;0.006174879999999994;0.04459120000000005;0.00010128;0
42;0.20202580000000003;0.0063406400000000085;0.04590960000000005;0.00010128;0
43;0.20618580000000003;0.0066721599999999825;0.04755760000000003;0.00010128;0
44;0.210845;0.0066721599999999825;0.049205600000000016;0.00010128;0
45;0.2151714;0.007003680000000012;0.05052400000000001;0.00010128;0
46;0.21966420000000003;0.007335199999999986;0.05217200000000005;0.00010128;0
47;0.2239906;0.007832479999999975;0.05414960000000002;0.00010128;0
48;0.2239906;0.00799823999999999;0.0557976;0.00010128;0
49;0.2281506;0.008661279999999993;0.057116000000000056;0.00010128;0
50;0.2326434;0.008992800000000023;0.057116000000000056;0.00010128;0
51;0.23713620000000002;0.009158559999999982;0.05859920000000002;0.00010128;0
52;0.2411298;0.009655840000000027;0.06041200000000002;0.00010128;0
53;0.24595540000000002;0.009821599999999986;0.06173040000000002;0.00010128;0
54;0.249949;0.010153120000000015;0.0633784;0.00010128;0
55;0.2539426;0.010153120000000015;0.0651912;0.00010128;0
56;0.25760340000000004;0.010816160000000019;0.0665096;0.00010128;0
57;0.262429;0.010981919999999978;0.06815760000000004;0.00010128;0
58;0.266589;0.011644959999999982;0.06964080000000003;0.00010128;0
59;0.266589;0.011976480000000012;0.07161840000000003;0.00010128;0
60;0.2705826;0.012307999999999986;0.07293680000000002;0.00010128;0
61;0.2750754;0.012805279999999974;0.07293680000000002;0.00010128;0
62;0.279069;0.013302560000000019;0.07491440000000002;0.00010128;0
63;0.28289620000000004;0.013634079999999993;0.07623280000000002;0.00010128;0
64;0.286557;0.014131359999999982;0.07821040000000004;0.00010128;0
65;0.2910498;0.014297119999999996;0.07952880000000004;0.00010128;0
66;0.29471060000000004;0.014297119999999996;0.08101200000000003;0.00010128;0
67;0.29887060000000004;0.015125920000000015;0.08249520000000002;0.00010128;0
68;0.30286420000000003;0.01578896000000002;0.08447280000000001;0.00010128;0
69;0.3068578;0.016120479999999993;0.08579120000000004;0.00010128;0
70;0.3068578;0.016783519999999996;0.08776880000000004;0.00010128;0
71;0.31060180000000004;0.017115040000000026;0.08908720000000003;0.00010128;0
72;0.3142626;0.017612320000000015;0.08908720000000003;0.00010128;0
73;0.3184226;0.018109600000000003;0.09073520000000002;0.00010128;0
74;0.32241620000000004;0.018772640000000007;0.09221840000000003;0.00010128;0
75;0.326077;0.01910415999999998;0.09419600000000003;0.00010128;0
76;0.3304034;0.019601440000000026;0.09584400000000004;0.00010128;0
