time;y1;y2;y3;u1;u2
0;0.0016802000000000206;0.0008705600000000202;-0.0007287999999999739;0;0.00010128
1;0.0016802000000000206;0.0007048000000000054;-0.0007287999999999739;0;0.00010128
2;0.0015138000000000096;0.0007048000000000054;-0.0005639999999999534;0;0.00010128
3;0.0016802000000000206;0.007335199999999986;-0.00023439999999996797;0;0.00010128
4;0.0018466000000000315;0.012307999999999986;0.0009192000000000089;0;0.00010128
5;0.0018466000000000315;0.01694928000000001;0.0017432000000000558;0;0.00010128
6;0.002678600000000031;0.02159055999999998;0.002732000000000012;0;0.00010128
7;0.0028449999999999864;0.025568800000000003;0.002732000000000012;0;0.00010128
8;0.0028449999999999864;0.029547040000000024;0.003226400000000018;0;0.00010128
9;0.0035106000000000304;0.03402255999999998;0.004709600000000036;0;0.00010128
10;0.003843399999999997;0.037006240000000024;0.005368800000000007;0;0.00010128
11;0.004508999999999985;0.04098447999999999;0.006192800000000054;0;0.00010128
12;0.005340999999999985;0.04396815999999998;0.007016800000000045;0;0.00010128
13;0.005507399999999996;0.04396815999999998;0.007840800000000037;0;0.00010128
14;0.006006600000000029;0.047614880000000026;0.008829600000000049;0;0.00010128
15;0.006672200000000017;0.050598560000000015;0.00965360000000004;0;0.00010128
16;0.007337800000000005;0.05358224;0.01031280000000001;0;0.00010128
17;0.007836999999999983;0.05623440000000002;0.011796000000000029;0;0.00010128
18;0.008502600000000027;0.05938384000000002;0.011796000000000029;0;0.00010128
19;0.008502600000000027;0.06203599999999998;0.01262000000000002;0;0.00010128
20;0.009334600000000026;0.06402511999999999;0.013114400000000026;0;0.00010128
21;0.009833800000000004;0.06568272000000003;0.014268000000000003;0;0.00010128
22;0.010332999999999981;0.06734032000000001;0.01575120000000002;0;0.00010128
23;0.010832200000000014;0.06916368;0.016245600000000027;0;0.00010128
24;0.011331399999999991;0.06916368;0.017564000000000024;0;0.00010128
25;0.012329800000000002;0.07048976000000001;0.018717600000000056;0;0.00010128
26;0.01282899999999998;0.07231312000000001;0.019541600000000048;0;0.00010128
27;0.013494600000000023;0.07363920000000002;0.020530400000000004;0;0.00010128
28;0.014493000000000034;0.07463376;0.02118960000000003;0;0.00010128
29;0.0148258;0.07629136;0.02118960000000003;0;0.00010128
30;0.0148258;0.07745168;0.022508000000000028;0;0.00010128
31;0.01582420000000001;0.07927504000000002;0.023167200000000054;0;0.00010128
32;0.0164898;0.08043536000000001;0.02415600000000001;0;0.00010128
33;0.0173218;0.08159568;0.025474400000000008;0;0.00010128
34;0.018153799999999998;0.08308752;0.026133600000000035;0;0.00010128
35;0.018819399999999986;0.08308752;0.027122400000000046;0;0.00010128
36;0.01948500000000003;0.08408208;0.028111200000000003;0;0.00010128
37;0.02031700000000003;0.08540816000000001;0.029100000000000015;0;0.00010128
38;0.020816200000000007;0.08656848;0.030418400000000012;0;0.00010128
39;0.022147399999999984;0.08723152;0.031407200000000024;0;0.00010128
40;0.022813000000000028;0.08888912000000002;0.031407200000000024;0;0.00010128
41;0.022813000000000028;0.08971792;0.03206640000000005;0;0.00010128
42;0.023478600000000016;0.09071248000000001;0.03338480000000005;0;0.00010128
43;0.024144200000000005;0.0918728;0.03404400000000002;0;0.00010128
44;0.024643399999999982;0.09286736000000001;0.035362400000000016;0;0.00010128
45;0.025641799999999992;0.09386192000000002;0.03635120000000003;0;0.00010128
46;0.026640200000000003;0.09386192000000002;0.037010400000000054;0;0.00010128
47;0.027472200000000002;0.095188;0.03799920000000001;0;0.00010128
48;0.0283042;0.09585104;0.0388232;0;0.00010128
49;0.0291362;0.09667984000000002;0.039976800000000035;0;0.00010128
50;0.0299682;0.09817168000000001;0.040800800000000026;0;0.00010128
51;0.030467400000000033;0.09883472000000001;0.040800800000000026;0;0.00010128
52;0.030467400000000033;0.09999504000000001;0.04178960000000004;0;0.00010128
53;0.03146579999999999;0.10115536;0.043272800000000056;0;0.00010128
54;0.03229779999999999;0.1018184;0.04426160000000001;0;0.00010128
55;0.03312979999999999;0.10264720000000002;0.04492080000000004;0;0.00010128
56;0.0341282;0.10331024;0.04590960000000005;0;0.00010128
57;0.03529300000000002;0.10331024;0.04689840000000001;0;0.00010128
58;0.03595860000000001;0.1043048;0.047722400000000054;0;0.00010128
59;0.036457799999999985;0.10529936000000001;0.048546400000000045;0;0.00010128
60;0.037456199999999995;0.10596240000000001;0.04970000000000002;0;0.00010128
61;0.038621000000000016;0.1067912;0.05052400000000001;0;0.00010128
62;0.039286600000000005;0.10778576000000001;0.05052400000000001;0;0.00010128
63;0.039286600000000005;0.10828304;0.051512800000000025;0;0.00010128
64;0.040118600000000004;0.10911184000000002;0.0526664;0;0.00010128
65;0.041283400000000026;0.10977488000000002;0.053655200000000014;0;0.00010128
66;0.041949000000000014;0.11093520000000001;0.054479200000000005;0;0.00010128
67;0.042947400000000024;0.11159824000000002;0.05546800000000002;0;0.00010128
68;0.04361300000000001;0.11159824000000002;0.05629200000000001;0;0.00010128
69;0.044777800000000034;0.11259280000000002;0.057116000000000056;0;0.00010128
70;0.04527700000000001;0.11358736;0.05810480000000001;0;0.00010128
71;0.04610900000000001;0.11408464000000001;0.059093600000000024;0;0.00010128
72;0.04694100000000001;0.11474768000000002;0.060082400000000036;0;0.00010128
73;0.04810580000000003;0.11507920000000002;0.060082400000000036;0;0.00010128
74;0.04810580000000003;0.11607376;0.06107120000000005;0;0.00010128
75;0.04893780000000003;0.11690256000000002;0.062060000000000004;0;0.00010128
76;0.04976980000000003;0.11756560000000002;0.06255440000000001;0;0.00010128
