time;y1;y2;y3;u1;u2
0;0.0035106000000000304;0.001699359999999983;0.0007544000000000439;0.00010128;0.00005064
1;0.0035106000000000304;0.001367840000000009;0.0007544000000000439;0.00010128;0.00005064
2;0.003843399999999997;0.0040200000000000236;0.0007544000000000439;0.00010128;0.00005064
3;0.011497800000000002;0.006174879999999994;0.0014136000000000148;0.00010128;0.00005064
4;0.01865300000000003;0.007832479999999975;0.002732000000000012;0.00010128;0.00005064
5;0.025309000000000026;0.007832479999999975;0.004709600000000036;0.00010128;0.00005064
6;0.0316322;0.010650400000000004;0.006028000000000033;0.00010128;0.00005064
7;0.038454600000000005;0.012142240000000026;0.007346400000000031;0.00010128;0.00005064
8;0.04494419999999999;0.013799840000000008;0.009159200000000034;0.00010128;0.00005064
9;0.05126740000000002;0.015125920000000015;0.010642400000000052;0.00010128;0.00005064
10;0.057091400000000014;0.01694928000000001;0.012290400000000035;0.00010128;0.00005064
11;0.057091400000000014;0.018275360000000018;0.012290400000000035;0.00010128;0.00005064
12;0.06308180000000002;0.01993296;0.014103200000000038;0.00010128;0.00005064
13;0.0690722;0.02159055999999998;0.016080800000000006;0.00010128;0.00005064
14;0.07506260000000001;0.023413919999999977;0.01805840000000003;0.00010128;0.00005064
15;0.08105300000000001;0.02440848000000001;0.020036000000000054;0.00010128;0.00005064
16;0.08687700000000001;0.02606607999999999;0.022508000000000028;0.00010128;0.00005064
17;0.09253460000000002;0.02606607999999999;0.02415600000000001;0.00010128;0.00005064
18;0.09785940000000001;0.02772368000000003;0.026133600000000035;0.00010128;0.00005064
19;0.103517;0.02904975999999998;0.028111200000000003;0.00010128;0.00005064
20;0.10917460000000001;0.030707360000000017;0.030748000000000053;0.00010128;0.00005064
21;0.11466580000000001;0.032033440000000024;0.032396000000000036;0.00010128;0.00005064
22;0.1199906;0.03385680000000002;0.032396000000000036;0.00010128;0.00005064
23;0.1199906;0.0355144;0.034538400000000025;0.00010128;0.00005064
24;0.12531540000000002;0.03733776;0.03668080000000001;0.00010128;0.00005064
25;0.13080660000000002;0.038663840000000005;0.03799920000000001;0.00010128;0.00005064
26;0.1356322;0.0404872;0.04030640000000002;0.00010128;0.00005064
27;0.1411234;0.04197904000000002;0.0419544;0.00010128;0.00005064
28;0.14628180000000002;0.04197904000000002;0.04475600000000002;0.00010128;0.00005064
29;0.1516066;0.04380240000000002;0.04673360000000004;0.00010128;0.00005064
30;0.15643220000000002;0.04546;0.04887600000000003;0.00010128;0.00005064
31;0.16109140000000002;0.04744912000000001;0.050688800000000034;0.00010128;0.00005064
32;0.16658260000000003;0.04894095999999998;0.05332560000000003;0.00010128;0.00005064
33;0.17157460000000002;0.0504328;0.05332560000000003;0.00010128;0.00005064
34;0.17157460000000002;0.05175888000000001;0.05546800000000002;0.00010128;0.00005064
35;0.1764002;0.05358224;0.057116000000000056;0.00010128;0.00005064
36;0.18122580000000002;0.055239839999999985;0.05942320000000001;0.00010128;0.00005064
37;0.1860514;0.05706319999999998;0.062060000000000004;0.00010128;0.00005064
38;0.19104340000000003;0.05822352000000003;0.0633784;0.00010128;0.00005064
39;0.19586900000000002;0.05822352000000003;0.06568560000000001;0.00010128;0.00005064
40;0.2003618;0.059715359999999995;0.06815760000000004;0.00010128;0.00005064
41;0.20535380000000003;0.06137296000000003;0.07030000000000003;0.00010128;0.00005064
42;0.20951380000000003;0.06303056000000001;0.07211280000000003;0.00010128;0.00005064
