time;y1;y2;y3;u1;u2;x1;x2;x3
0;0.0030113999999999974;0.001367840000000009;0.00009520000000001749;0.00010128;0;0;0;0
1;0.0028449999999999864;0.001367840000000009;0.000260000000000038;0.00010128;0;0;0;0
2;0.003676999999999986;0.0012020799999999943;0.000260000000000038;0.00010128;0;0.004425033245449307;0.0000897137223431507;0.000536889826175406
3;0.011497800000000002;0.0012020799999999943;0.0007544000000000439;0.00010128;0;0.008964974655466583;0.00018810239343902146;0.0011062693216426357
4;0.018819399999999986;0.001367840000000009;0.0014136000000000148;0.00010128;0;0.013647291624788276;0.0002996140955026895;0.0017077528613905566
5;0.025808200000000003;0.001367840000000009;0.0022376000000000063;0.00010128;0;0.018471476047460356;0.000419441996315016;0.0023422622438114766
6;0.03213140000000003;0.001699359999999983;0.003226400000000018;0.00010128;0;0.02343197763237236;0.0005467643554634954;0.0030104100725529006
7;0.038288199999999994;0.001699359999999983;0.0040504000000000095;0.00010128;0;0.028513947534962305;0.0006806115436050378;0.0037127755337828115
8;0.04494419999999999;0.0020308800000000127;0.0040504000000000095;0.00010128;0;0.033703482440298124;0.0008133237882320883;0.004449059491299327
9;0.04494419999999999;0.0020308800000000127;0.005204000000000042;0.00010128;0;0.03899834692801421;0.0009506794945431069;0.005219201839384762
10;0.05143380000000003;0.0020308800000000127;0.006192800000000054;0.00010128;0;0.044260273773768545;0.0010775118370297857;0.006025023541188517
11;0.057257800000000025;0.0021966400000000275;0.007016800000000045;0.00010128;0;0.049585270922187785;0.0011993835312138783;0.006864024292933218
12;0.06308180000000002;0.0023623999999999867;0.008170400000000022;0.00010128;0;0.054946918058504254;0.0013147319486074623;0.007737556400366603
13;0.0690722;0.0023623999999999867;0.008994400000000013;0.00010128;0;0.06033394329436528;0.0014224716662566694;0.008644000919244752
14;0.0748962;0.0023623999999999867;0.01031280000000001;0.00010128;0;0.0657326286239441;0.0015201454070735405;0.009583152906217992
15;0.08072020000000002;0.0026939200000000163;0.011631200000000008;0.00010128;0;0.07112447350432818;0.0016079205755474867;0.010553681511004807
16;0.08687700000000001;0.0026939200000000163;0.01278480000000004;0.00010128;0;0.07649998435230741;0.0016866096570315363;0.011555019059415994
17;0.09236820000000001;0.0028596799999999756;0.014103200000000038;0.00010128;0;0.08186029596012048;0.0017597051836800589;0.012587210506145861
