time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1;u2
0;0.0008482000000000212;0.0008705600000000202;0.003061600000000053;0;0;0;0;0;0;0.00005064;0
0;0.0008482000000000212;0.0008705600000000202;0.003061600000000053;0;0;0;0;0;0;0.00005064;0
1;0.0005153999999999992;0.0008705600000000202;0.0028968000000000327;0;0;0;0;0;0;0.00005064;0
2;0.0028449999999999864;0.0008705600000000202;0.003061600000000053;0.00030412705792585575;0.000010438024652280414;-0.00009255765233095933;0.000043151605468754046;4.3084528483021184e-7;5.291517004813344e-7;0.00005064;0
3;0.006838600000000028;0.0007048000000000054;0.0028968000000000327;0.0019401292692305641;0.000021024405015558262;-0.000177934106904977;0.000051294921906779324;7.567470903249278e-7;9.442822959496886e-7;0.00005064;0
4;0.010000200000000015;0.0008705600000000202;0.003226400000000018;0.005041913757897908;0.00003170852201206166;-0.00023537137266571551;0.000053966075737470364;0.0000010775058327346683;0.0000013338578107200552;0.00005064;0
5;0.01299539999999999;0.0008705600000000202;0.003720800000000024;0.00824800047585931;0.000041839692893522124;-0.00024483513784993323;0.000054244928111724225;0.0000013932216080908543;0.000001700471214918536;0.00005064;0
6;0.01299539999999999;0.0008705600000000202;0.004709600000000036;0.011443070846243346;0.000051254484306141856;-0.00021092585521797184;0.000053137115034108625;0.0000017047362206416068;0.000002047526575518542;0.00005064;0
7;0.0156578;0.0010363199999999795;0.0048744000000000565;0.012571233579746927;0.00006149455557439392;-0.00013175674415470508;0.000054740983877171704;0.0000020132161824052084;0.0000023729635526341243;0.00005064;0
8;0.01865300000000003;0.0010363199999999795;0.005368800000000007;0.014676593360467356;0.00007184083233279483;-0.00003710967905762707;0.000054864168933094695;0.000002320927470393948;0.000002681292172208624;0.00005064;0
9;0.021814600000000017;0.0010363199999999795;0.005368800000000007;0.017375300923774418;0.00008149532758079118;0.00008652505264769396;0.00005358161438036123;0.0000026296965335956213;0.000002971232547660311;0.00005064;0
