time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1;u2
0;0.000016200000000021753;0.00037327999999997585;0.000260000000000038;0;0;0;0;0;0;0.00005064;0
0;-0.00015019999999998923;0.00037327999999997585;0.000260000000000038;0;0;0;0;0;0;0.00005064;0
1;-0.00015019999999998923;0.00020752000000001658;0.00042480000000000295;0;0;0;0;0;0;0.00005064;0
2;0.0005153999999999992;0.00037327999999997585;0.0007544000000000439;-0.00003185249572136777;0.000010256461932954728;-0.00009256805476262977;0.000043100554017026954;4.3083824534071805e-7;5.291528920348454e-7;0.00005064;0
3;0.005840200000000018;0.00037327999999997585;0.0010840000000000294;0.0003634542211716901;0.000020592836532102644;-0.00018296153308326163;0.000051559691840436135;7.568534553457072e-7;9.443879518880671e-7;0.00005064;0
4;0.007670600000000027;0.00037327999999997585;0.0019080000000000208;0.003847869119637423;0.00002895858106721772;-0.0002628377888465119;0.00005313220986498;0.0000010780666042381097;0.0000013349076894070942;0.00005064;0
5;0.010832200000000014;0.0007048000000000054;0.0019080000000000208;0.0063528800672772966;0.00003944438513009274;-0.0002917161137602823;0.00005302379740961948;0.000001393836766580732;0.000001701446470854952;0.00005064;0
6;0.014326600000000023;0.0007048000000000054;0.0022376000000000063;0.0093095806128679;0.00004916498852999248;-0.0002813756308226467;0.000052956288054886136;0.0000017057289456495075;0.0000020462536577650314;0.00005064;0
7;0.017155399999999987;0.0008705600000000202;0.003061600000000053;0.012588353916843712;0.00006006173893654876;-0.0002293135916686876;0.000053876549362800785;0.000002014587584439552;0.000002373623399007521;0.00005064;0
8;0.02015060000000002;0.0008705600000000202;0.0033912000000000386;0.01564640251458712;0.00007276754197394504;-0.0001318860670458633;0.00005283714182504179;0.000002322339769167599;0.0000026823972279814636;0.00005064;0
9;0.023312200000000005;0.0010363199999999795;0.0040504000000000095;0.018670964410394553;0.0000838307170765141;0.000005933187951353138;0.00005360790523086705;0.000002631522077803047;0.000002971666188810298;0.00005064;0
10;0.025808200000000003;0.0010363199999999795;0.0050392000000000214;0.021814884210156725;0.00009653988609929193;0.00018582806513560565;0.00005378789320992247;0.0000029434275481478285;0.0000032417205129297606;0.00005064;0
11;0.025808200000000003;0.0010363199999999795;0.005863200000000013;0.024584826748520403;0.00010862764063324331;0.00040318991618147675;0.00005330655962958804;0.000003261053354514197;0.0000034943589915923796;0.00005064;0
12;0.02896979999999999;0.0010363199999999795;0.006357600000000019;0.025618659725607153;0.00011881696515441374;0.0006533966932141188;0.00005293037536934822;0.0000035859839531753762;0.000003725201770093933;0.00005064;0
13;0.03196500000000002;0.0012020799999999943;0.007016800000000045;0.028001996997967727;0.00012870753327781377;0.0009131247747680476;0.0000531835310273414;0.000003919409482860067;0.0000039363816336980355;0.00005064;0
