time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1;u2
0;0.0003489999999999882;0.000041760000000001796;-0.00006959999999994748;0;0;0;0;0;0;0;0
0;0.0003489999999999882;-0.000124000000000013;-0.00006959999999994748;0;0;0;0;0;0;0;0
1;0.000016200000000021753;-0.000124000000000013;-0.00023439999999996797;0;0;0;0;0;0;0;0
2;0.000016200000000021753;-0.000124000000000013;0.00009520000000001749;-0.00034003947358170525;-0.00003402489972563797;-0.00035739313561655614;0.000002325391466892778;1.524212095506638e-7;1.167219843966629e-7;0;0
3;0.0003489999999999882;-0.000124000000000013;-0.00006959999999994748;-0.0006580409036061611;-0.00006635312122772266;-0.0007111031932114276;0.000004460444360808155;2.0427043194644268e-7;1.335489786753619e-7;0;0
4;0.0003489999999999882;-0.000124000000000013;-0.00006959999999994748;-0.0009104190003298298;-0.00009696881738611398;-0.0010603214916765108;0.000006428265042238764;2.5559886053938474e-7;1.5036184943423204e-7;0;0
5;0.0003489999999999882;-0.000124000000000013;-0.00006959999999994748;-0.0011064110391958964;-0.00012578155173266007;-0.0014051423771808047;0.000008154970647940931;3.0639624602470184e-7;1.6693935828195703e-7;0;0
6;0.0003489999999999882;-0.000124000000000013;-0.00023439999999996797;-0.0012760356450161351;-0.00015296777724168887;-0.0017442483764688376;0.000009720946014076457;3.5665361429748447e-7;1.83124386675048e-7;0;0
7;0.000016200000000021753;-0.000124000000000013;-0.00006959999999994748;-0.0013840380053117;-0.00017814891825839805;-0.002077810330163108;0.000011002558697227607;4.063677675604896e-7;1.989874548163916e-7;0;0
8;0.0003489999999999882;-0.00028975999999997226;-0.00023439999999996797;-0.0014849091050489396;-0.00020193896812560684;-0.0024048555066696377;0.00001183766491127716;4.55509183373197e-7;2.1445872875066944e-7;0;0
9;0.000016200000000021753;-0.000124000000000013;-0.00023439999999996797;-0.0015118102518496342;-0.00022428918873991887;-0.0027259383022977253;0.000012637678882944038;5.040831974532679e-7;2.2956267657538288e-7;0;0
10;0.0003489999999999882;-0.000124000000000013;-0.00023439999999996797;-0.0015659448176309544;-0.0002447422164531955;-0.0030395944019369534;0.00001313008002047396;5.520166781005081e-7;2.4433796014155587e-7;0;0
11;0.000016200000000021753;-0.000124000000000013;-0.00023439999999996797;-0.0015495805852225521;-0.0002643322516440337;-0.0033474903801521644;0.000013646770009283362;5.993768751728594e-7;2.5885409606719777e-7;0;0
12;0.000016200000000021753;-0.000124000000000013;-0.00023439999999996797;-0.001592757632940749;-0.00028324118628085147;-0.0036470345187495632;0.000014190785915307118;6.460830391686834e-7;2.730405705214033e-7;0;0
13;0.000016200000000021753;-0.000124000000000013;-0.00023439999999996797;-0.001604334953943611;-0.00029920453466004407;-0.003939821127639732;0.000014447677871794032;6.921733200454922e-7;2.872371944530157e-7;0;0
14;0.000016200000000021753;-0.000124000000000013;-0.00006959999999994748;-0.0016299691100636995;-0.00031474518839928387;-0.004226258745941897;0.000014898329903789349;7.377139258985751e-7;3.0130042813381897e-7;0;0
15;0.000016200000000021753;-0.000124000000000013;-0.00006959999999994748;-0.0016169017348422916;-0.00032964481226293164;-0.0045055143093330734;0.00001503668657766421;7.826820948582483e-7;3.1520287362394216e-7;0;0
16;0.000016200000000021753;-0.000124000000000013;-0.00006959999999994748;-0.0016019715508049403;-0.0003429068347850212;-0.004778081692305196;0.000015164127305678583;8.270419172374253e-7;3.290823926272165e-7;0;0
17;0.0003489999999999882;-0.000124000000000013;-0.00023439999999996797;-0.0016009179177881951;-0.00035495143396961366;-0.005044578156231168;0.000015519074103857834;8.708149063870045e-7;3.4289995607810277e-7;0;0
18;0.0003489999999999882;-0.000124000000000013;-0.00006959999999994748;-0.0015028488072287793;-0.00036508857660051507;-0.005303771487667182;0.000015593719619245423;9.140067490481173e-7;3.5656302287253363e-7;0;0
